metric,value
mAP50-95,50.831457826583346
AP50,80.19850759826278
AP75,53.994744364738324
AP_small,18.608046969175067
AP_medium,48.469292568782045
AP_large,65.29817267487027
AR1,35.03934567111135
AR10,55.66283958007601
AR100,56.339988065290505
AR_small,26.902811369817332
AR_medium,56.12010227432184
AR_large,68.93702832111127
AR50-95,56.339988065290505
paper_mAP50-95,50.831457826583346
paper_AR50-95,56.339988065290505
mIoU_all,84.25905616719211
mPA_all,92.08306340722375
mPrecision_all,90.06365269252392
mIoU_o,80.14886883037829
mIoU_d,98.8993561475821
IoU_class_0,98.39006754449872
IoU_class_1,84.64105812810594
IoU_class_2,83.36211708265685
IoU_class_3,69.16186906811134
IoU_class_4,88.78982120855005
IoU_class_5,82.38300818890869
IoU_class_6,90.58279184295994
IoU_class_7,62.12141629335534
IoU_class_8,98.8993561475821
dark_times,night
dim_lightings,dim
dim_times,"daytime,night"
dim_weathers,"overcast,rainy"
small_area,4096.0
small_area_space,original
dark_count,175
dark_mAP50-95,46.46145500331351
dark_AP50,81.05788941503609
dark_AP75,44.6919646349655
dark_AP_small,16.52171905737802
dark_AP_medium,37.48868283579335
dark_AP_large,73.41046390057501
dark_AR1,32.97663561548651
dark_AR10,54.34575923392612
dark_AR100,55.68030855753153
dark_AR_small,31.354881425303958
dark_AR_medium,48.724649211630265
dark_AR_large,77.33333333333333
dark_AR50-95,55.68030855753153
dark_mIoU_all,63.97587972242922
dark_mPA_all,88.85477868967484
dark_mPrecision_all,68.20173458590526
dark_mIoU_o,47.223173223183835
dark_mIoU_d,98.14366039947699
dark_IoU_class_0,96.81892504236302
dark_IoU_class_1,52.83428770774143
dark_IoU_class_2,46.77928560368876
dark_IoU_class_3,0.0
dark_IoU_class_4,nan
dark_IoU_class_5,nan
dark_IoU_class_6,89.27911958130514
dark_IoU_class_7,nan
dark_IoU_class_8,98.14366039947699
dim_count,415
dim_mAP50-95,48.51500806383884
dim_AP50,86.53954058346976
dim_AP75,48.19177344968663
dim_AP_small,23.17550905026671
dim_AP_medium,38.1514767127286
dim_AP_large,57.211506255555776
dim_AR1,37.6764767490574
dim_AR10,54.378733572281966
dim_AR100,55.51268056913218
dim_AR_small,27.77851458885942
dim_AR_medium,50.78970797720799
dim_AR_large,62.173694779116474
dim_AR50-95,55.51268056913218
dim_mIoU_all,77.74799401765607
dim_mPA_all,85.29880375017882
dim_mPrecision_all,87.65748419115957
dim_mIoU_o,67.42036394963094
dim_mIoU_d,98.74171200142105
dim_IoU_class_0,98.06479630599156
dim_IoU_class_1,64.85092587953108
dim_IoU_class_2,nan
dim_IoU_class_3,56.9925307440385
dim_IoU_class_4,nan
dim_IoU_class_5,58.558879593649074
dim_IoU_class_6,89.27911958130514
dim_IoU_class_7,nan
dim_IoU_class_8,98.74171200142105
small_count,6128
small_mAP50-95,45.81113536240847
small_AP50,76.71300829430226
small_AP75,46.64419987612489
small_AP_small,19.102311870361145
small_AP_medium,47.89673919270413
small_AP_large,68.11610009854753
small_AR1,29.672132788344197
small_AR10,50.93081233510891
small_AR100,51.72667870061153
small_AR_small,26.902811369817332
small_AR_medium,55.53695931688457
small_AR_large,71.54597655996953
small_AR50-95,51.72667870061153
small_mIoU_all,81.88625916210643
small_mPA_all,90.83298768841074
small_mPrecision_all,88.12864593512792
small_mIoU_o,77.08013888452186
small_mIoU_d,98.91736809647539
small_IoU_class_0,98.49799217082949
small_IoU_class_1,82.35785556861657
small_IoU_class_2,81.11734832964903
small_IoU_class_3,63.137340738629476
small_IoU_class_4,88.2514953424934
small_IoU_class_5,77.37008433752459
small_IoU_class_6,88.7623581640141
small_IoU_class_7,58.56448971072582
small_IoU_class_8,98.91736809647539
mAP_da,46.46145500331351
mIoUda_d,98.14366039947699
mAP_di,48.51500806383884
mIoUdi_d,98.74171200142105
mAP_sm,45.81113536240847
mIoUsm_o,77.08013888452186
