metric,value
mAP50-95,33.44441411333505
AP50,64.59369664799144
AP75,31.285135571817197
AP_small,4.209379300640268
AP_medium,28.068179358654806
AP_large,49.96303123524907
AR1,25.898799528318108
AR10,37.81052435103982
AR100,37.955492398492225
AR_small,7.260777323320583
AR_medium,34.85617111234364
AR_large,54.31604803111952
AR50-95,37.955492398492225
paper_mAP50-95,33.44441411333505
paper_AR50-95,37.955492398492225
mIoU_all,84.10881210715122
mPA_all,90.22248581649124
mPrecision_all,91.6880726193532
mIoU_o,79.95866591498816
mIoU_d,98.88920888768602
IoU_class_0,98.37943867175781
IoU_class_1,84.52958803074065
IoU_class_2,83.8132421213361
IoU_class_3,67.94649532666047
IoU_class_4,88.36266545116625
IoU_class_5,81.41114499626033
IoU_class_6,90.62810192215093
IoU_class_7,63.019423556602284
IoU_class_8,98.88920888768602
dark_count,175
dark_mAP50-95,35.18717396720695
dark_AP50,66.9337363050542
dark_AP75,31.226128719113465
dark_AP_small,5.87690590148496
dark_AP_medium,23.932606533079216
dark_AP_large,67.23111332415381
dark_AR1,30.178696284715446
dark_AR10,40.882260656200465
dark_AR100,40.90810044948212
dark_AR_small,9.942361560008619
dark_AR_medium,31.758435628298642
dark_AR_large,70.57142857142857
dark_AR50-95,40.90810044948212
dark_mIoU_all,42.865012822969376
dark_mPA_all,48.23473761519273
dark_mPrecision_all,46.58481827090319
dark_mIoU_o,27.197695814013777
dark_mIoU_d,98.22765066314905
dark_IoU_class_0,97.17359404547888
dark_IoU_class_1,53.75386285844458
dark_IoU_class_2,46.49877847849554
dark_IoU_class_3,0.0
dark_IoU_class_4,0.0
dark_IoU_class_5,0.0
dark_IoU_class_6,90.13122936115634
dark_IoU_class_7,0.0
dark_IoU_class_8,98.22765066314905
dim_count,1124
dim_mAP50-95,20.942780547059233
dim_AP50,46.80521681212706
dim_AP75,14.90776738794451
dim_AP_small,2.6185700039810906
dim_AP_medium,19.47395984120244
dim_AP_large,38.876190047115614
dim_AR1,18.18479477074116
dim_AR10,25.835294783045814
dim_AR100,25.938448343586394
dim_AR_small,4.732658268000755
dim_AR_medium,25.769084875587144
dim_AR_large,43.73283341806473
dim_AR50-95,25.938448343586394
dim_mIoU_all,57.725046594365594
dim_mPA_all,62.06557865696121
dim_mPrecision_all,69.65858316152764
dim_mIoU_o,46.14167321415019
dim_mIoU_d,98.58226286289023
dim_IoU_class_0,97.95144398734872
dim_IoU_class_1,74.70939710140459
dim_IoU_class_2,64.472705103663
dim_IoU_class_3,43.475311991318506
dim_IoU_class_4,0.0
dim_IoU_class_5,50.181979242777786
dim_IoU_class_6,90.15231905988747
dim_IoU_class_7,0.0
dim_IoU_class_8,98.58226286289023
small_count,8475
small_mAP50-95,31.63770968418164
small_AP50,63.0927007444144
small_AP75,28.557133432200242
small_AP_small,4.224165420996762
small_AP_medium,28.087904160856613
small_AP_large,49.143157541144575
small_AR1,23.649509855768223
small_AR10,36.06022838632605
small_AR100,36.20741723057105
small_AR_small,7.260777323320583
small_AR_medium,34.85617111234364
small_AR_large,53.57654039601053
small_AR50-95,36.20741723057105
small_mIoU_all,83.36800885528369
small_mPA_all,89.84118876798946
small_mPrecision_all,91.21193726286668
small_mIoU_o,79.00279956948637
small_mIoU_d,98.86528425596674
small_IoU_class_0,98.42719845518201
small_IoU_class_1,82.54134126304233
small_IoU_class_2,83.81601159302852
small_IoU_class_3,68.17273966617863
small_IoU_class_4,86.30645169062699
small_IoU_class_5,81.24178734492274
small_IoU_class_6,87.92184187200309
small_IoU_class_7,63.019423556602284
small_IoU_class_8,98.86528425596674
mAP_da,35.18717396720695
mIoUda_d,98.22765066314905
mAP_di,20.942780547059233
mIoUdi_d,98.58226286289023
mAP_sm,31.63770968418164
mIoUsm_o,79.00279956948637
