metric,value
mAP50-95,33.8738250872906
AP50,62.956552044226264
AP75,32.75199047801708
AP_small,5.690347416524195
AP_medium,28.410246418488995
AP_large,50.073630436273056
AR1,25.792964658415464
AR10,38.15686616561376
AR100,38.57256000691386
AR_small,9.263685808941513
AR_medium,35.09007129688561
AR_large,54.430866728871564
AR50-95,38.57256000691386
paper_mAP50-95,33.8738250872906
paper_AR50-95,38.57256000691386
mIoU_all,78.66131330507932
mPA_all,88.78904385325833
mPrecision_all,85.89969508149885
mIoU_o,73.12509990522933
mIoU_d,98.44788046953546
IoU_class_0,97.62823993957296
IoU_class_1,77.13858971716871
IoU_class_2,78.86273553362932
IoU_class_3,58.69706045604634
IoU_class_4,83.65546477136829
IoU_class_5,74.61647028948907
IoU_class_6,87.04686573500884
IoU_class_7,51.858512833894764
IoU_class_8,98.44788046953546
dark_count,814
dark_mAP50-95,20.69496032076414
dark_AP50,40.788080877270865
dark_AP75,18.5279224657331
dark_AP_small,5.16992820797435
dark_AP_medium,19.60241130333751
dark_AP_large,51.577150588424495
dark_AR1,16.39622380131464
dark_AR10,24.32112999953782
dark_AR100,24.97337143314792
dark_AR_small,8.755398382315265
dark_AR_medium,26.135080256512122
dark_AR_large,54.134522981078305
dark_AR50-95,24.97337143314792
dark_mIoU_all,44.8441674124096
dark_mPA_all,74.19524830453503
dark_mPrecision_all,48.873345859205386
dark_mIoU_o,29.90742655256095
dark_mIoU_d,97.61406268457449
dark_IoU_class_0,96.63145815918524
dark_IoU_class_1,67.71021889447101
dark_IoU_class_2,56.321333779019675
dark_IoU_class_3,0.0
dark_IoU_class_4,0.0
dark_IoU_class_5,0.0
dark_IoU_class_6,85.32043319443595
dark_IoU_class_7,0.0
dark_IoU_class_8,97.61406268457449
dim_count,1124
dim_mAP50-95,21.821702074364136
dim_AP50,48.52936658443306
dim_AP75,16.845317296034306
dim_AP_small,4.183173827563119
dim_AP_medium,18.171731870279395
dim_AP_large,38.814176901484224
dim_AR1,19.126753208331866
dim_AR10,26.92174917195424
dim_AR100,27.441426021259126
dim_AR_small,6.928151112824408
dim_AR_medium,24.7081800001776
dim_AR_large,43.09849178105406
dim_AR50-95,27.441426021259126
dim_mIoU_all,54.6425335530458
dim_mPA_all,69.83185248915163
dim_mPrecision_all,63.66716831185077
dim_mIoU_o,42.41855613232531
dim_mIoU_d,97.88227813875461
dim_IoU_class_0,96.97063091238047
dim_IoU_class_1,65.22746445943389
dim_IoU_class_2,56.31966608679807
dim_IoU_class_3,40.956522710195536
dim_IoU_class_4,0.0
dim_IoU_class_5,49.10933156108869
dim_IoU_class_6,85.31690810876094
dim_IoU_class_7,0.0
dim_IoU_class_8,97.88227813875461
small_count,3820
small_mAP50-95,23.704154610672717
small_AP50,47.641107185772555
small_AP75,21.364954565007793
small_AP_small,5.930983154966773
small_AP_medium,27.284543234220177
small_AP_large,49.353834958554536
small_AR1,17.46585497234115
small_AR10,27.43384263949219
small_AR100,27.97422114765822
small_AR_small,9.263685808941513
small_AR_medium,34.08987325474116
small_AR_large,53.56075978141712
small_AR50-95,27.97422114765822
small_mIoU_all,72.7500728715569
small_mPA_all,84.85677520666005
small_mPrecision_all,80.97050250774785
small_mIoU_o,65.47851596209973
small_mIoU_d,98.43022359721843
small_IoU_class_0,97.97082051209544
small_IoU_class_1,66.65396318112774
small_IoU_class_2,75.73485288448667
small_IoU_class_3,52.281493392150836
small_IoU_class_4,81.23428685926424
small_IoU_class_5,59.152509779867025
small_IoU_class_6,84.06338941691561
small_IoU_class_7,39.22911622088595
small_IoU_class_8,98.43022359721843
mAP_da,20.69496032076414
mIoUda_d,97.61406268457449
mAP_di,21.821702074364136
mIoUdi_d,97.88227813875461
mAP_sm,23.704154610672717
mIoUsm_o,65.47851596209973
