metric,value
mAP50-95,33.9434504362287
AP50,63.20344341077077
AP75,32.82906145151267
AP_small,5.798896042926001
AP_medium,28.497431066117883
AP_large,50.09356843903383
AR1,25.870555686207748
AR10,38.18496827801511
AR100,38.61203582249633
AR_small,9.354364719024346
AR_medium,35.13156267793853
AR_large,54.487709925571856
AR50-95,38.61203582249633
paper_mAP50-95,33.9434504362287
paper_AR50-95,38.61203582249633
mIoU_all,78.71142210924005
mPA_all,88.68024806556907
mPrecision_all,86.07330554747875
mIoU_o,73.18777913848004
mIoU_d,98.45022263976499
IoU_class_0,97.63812237403519
IoU_class_1,77.23201323725422
IoU_class_2,78.89291518971842
IoU_class_3,58.75823675071119
IoU_class_4,83.72661044610166
IoU_class_5,74.68403498019501
IoU_class_6,87.0586223694846
IoU_class_7,51.96202099589521
IoU_class_8,98.45022263976499
dark_count,814
dark_mAP50-95,20.698519337699395
dark_AP50,41.13909612099943
dark_AP75,18.38336477658562
dark_AP_small,5.207697660797363
dark_AP_medium,19.821695525669185
dark_AP_large,51.39495788730579
dark_AR1,16.351308934212522
dark_AR10,24.366936067354597
dark_AR100,24.987053765093194
dark_AR_small,8.742886030084545
dark_AR_medium,26.35265908426108
dark_AR_large,53.95669715346126
dark_AR50-95,24.987053765093194
dark_mIoU_all,44.86253622700216
dark_mPA_all,74.01584009233459
dark_mPrecision_all,55.15256685988086
dark_mIoU_o,29.9294150080739
dark_mIoU_d,97.62040210688617
dark_IoU_class_0,96.63651887961602
dark_IoU_class_1,67.68633831311378
dark_IoU_class_2,56.594703034565605
dark_IoU_class_3,0.0
dark_IoU_class_4,0.0
dark_IoU_class_5,0.0
dark_IoU_class_6,85.2248637088379
dark_IoU_class_7,0.0
dark_IoU_class_8,97.62040210688617
dim_count,1124
dim_mAP50-95,22.172203084671587
dim_AP50,49.18219056850501
dim_AP75,17.525011305988595
dim_AP_small,4.221201161622721
dim_AP_medium,17.857099495923265
dim_AP_large,39.26639938521198
dim_AR1,19.310025560505036
dim_AR10,27.25842001699871
dim_AR100,27.75672485313002
dim_AR_small,6.933224866495085
dim_AR_medium,24.447034405392902
dim_AR_large,43.40227927469921
dim_AR50-95,27.75672485313002
dim_mIoU_all,54.67820654063682
dim_mPA_all,69.66937676354937
dim_mPrecision_all,63.87971280282051
dim_mIoU_o,42.462680375735076
dim_mIoU_d,97.88816850620825
dim_IoU_class_0,96.97692772937776
dim_IoU_class_1,65.22900190195173
dim_IoU_class_2,56.593079734442256
dim_IoU_class_3,40.6874000083027
dim_IoU_class_4,0.0
dim_IoU_class_5,49.50843424291906
dim_IoU_class_6,85.22084674252976
dim_IoU_class_7,0.0
dim_IoU_class_8,97.88816850620825
small_count,3820
small_mAP50-95,23.755727778500653
small_AP50,47.761123398679025
small_AP75,21.539044619622405
small_AP_small,6.056477980679572
small_AP_medium,27.366697803488233
small_AP_large,49.08494522408902
small_AR1,17.580633431421187
small_AR10,27.547419027433783
small_AR100,28.099352699599145
small_AR_small,9.354364719024346
small_AR_medium,34.32440328956996
small_AR_large,53.37965770458306
small_AR50-95,28.099352699599145
small_mIoU_all,72.84611585666964
small_mPA_all,84.73759694001633
small_mPrecision_all,81.21143508036967
small_mIoU_o,65.59937582982512
small_mIoU_d,98.43677052669231
small_IoU_class_0,97.98264137455871
small_IoU_class_1,66.82513208819171
small_IoU_class_2,75.7519784634921
small_IoU_class_3,52.54360986310617
small_IoU_class_4,81.36623370421155
small_IoU_class_5,59.24883906345533
small_IoU_class_6,84.14039760285144
small_IoU_class_7,39.319440023467585
small_IoU_class_8,98.43677052669231
mAP_da,20.698519337699395
mIoUda_d,97.62040210688617
mAP_di,22.172203084671587
mIoUdi_d,97.88816850620825
mAP_sm,23.755727778500653
mIoUsm_o,65.59937582982512
