metric,value
mAP50-95,34.21291350465342
AP50,64.37691658249061
AP75,32.83930846978646
AP_small,6.0927137276745365
AP_medium,28.871606734682135
AP_large,50.16733356757499
AR1,26.02849340159226
AR10,38.943546097523104
AR100,39.61701277537432
AR_small,10.790473446638414
AR_medium,36.5790492656714
AR_large,54.76257075838803
AR50-95,39.61701277537432
paper_mAP50-95,34.21291350465342
paper_AR50-95,39.61701277537432
mIoU_all,78.68275833015717
mPA_all,87.72565925269052
mPrecision_all,86.96344894721756
mIoU_o,73.15957069692033
mIoU_d,98.41990392799698
IoU_class_0,97.60792616497524
IoU_class_1,77.32292882097146
IoU_class_2,78.82852337267768
IoU_class_3,57.92998734742534
IoU_class_4,83.75769197909936
IoU_class_5,74.49141123833147
IoU_class_6,86.65274887480162
IoU_class_7,53.13370324513536
IoU_class_8,98.41990392799698
dark_count,814
dark_mAP50-95,20.77201417390025
dark_AP50,41.23975625881167
dark_AP75,18.862252631959862
dark_AP_small,5.544026176170829
dark_AP_medium,20.133394722970078
dark_AP_large,54.32766651383116
dark_AR1,16.257307598073712
dark_AR10,24.545923576979472
dark_AR100,25.6062276797484
dark_AR_small,9.544431431394795
dark_AR_medium,27.412697713468592
dark_AR_large,57.00885608244691
dark_AR50-95,25.6062276797484
dark_mIoU_all,44.73384892052664
dark_mPA_all,72.99128107192149
dark_mPrecision_all,49.6107896481555
dark_mIoU_o,29.78247660155488
dark_mIoU_d,97.59280015992358
dark_IoU_class_0,96.53450391393197
dark_IoU_class_1,67.1973051615665
dark_IoU_class_2,57.51258126045475
dark_IoU_class_3,0.0
dark_IoU_class_4,0.0
dark_IoU_class_5,0.0
dark_IoU_class_6,83.76744978886292
dark_IoU_class_7,0.0
dark_IoU_class_8,97.59280015992358
dim_count,1124
dim_mAP50-95,22.09404057308121
dim_AP50,48.84863703623349
dim_AP75,18.812161180915858
dim_AP_small,4.492326750119713
dim_AP_medium,18.85733890643612
dim_AP_large,40.64259801244955
dim_AR1,18.700872087864614
dim_AR10,27.268201586276675
dim_AR100,28.18224868359015
dim_AR_small,7.7487726618215635
dim_AR_medium,26.068230364365146
dim_AR_large,44.91587019149297
dim_AR50-95,28.18224868359015
dim_mIoU_all,54.642523174986934
dim_mPA_all,68.71333684008539
dim_mPrecision_all,64.86473674435094
dim_mIoU_o,42.42787488774259
dim_mIoU_d,97.87641722502633
dim_IoU_class_0,96.91116713565793
dim_IoU_class_1,64.79500710137546
dim_IoU_class_2,57.512036002832346
dim_IoU_class_3,40.01778874714051
dim_IoU_class_4,0.0
dim_IoU_class_5,50.910348654196255
dim_IoU_class_6,83.75994370865357
dim_IoU_class_7,0.0
dim_IoU_class_8,97.87641722502633
small_count,3820
small_mAP50-95,24.13445979453222
small_AP50,49.24192522373119
small_AP75,21.978988412864663
small_AP_small,6.388107727112992
small_AP_medium,27.739957274726073
small_AP_large,49.15748072489559
small_AR1,17.757137957289643
small_AR10,28.46516605500613
small_AR100,29.332053912722024
small_AR_small,10.790473446638414
small_AR_medium,35.69160734862524
small_AR_large,53.646132491506336
small_AR50-95,29.332053912722024
small_mIoU_all,73.11909378050294
small_mPA_all,83.96204800348433
small_mPrecision_all,82.3500083756061
small_mIoU_o,65.9560586905278
small_mIoU_d,98.41358922101188
small_IoU_class_0,97.96584396982004
small_IoU_class_1,67.15887814419082
small_IoU_class_2,75.70132783263102
small_IoU_class_3,52.98751793359687
small_IoU_class_4,81.60924989043103
small_IoU_class_5,59.4649931827259
small_IoU_class_6,84.50447666102446
small_IoU_class_7,40.26596718909443
small_IoU_class_8,98.41358922101188
mAP_da,20.77201417390025
mIoUda_d,97.59280015992358
mAP_di,22.09404057308121
mIoUdi_d,97.87641722502633
mAP_sm,24.13445979453222
mIoUsm_o,65.9560586905278
