metric,value
mAP50-95,40.747591548969154
AP50,70.79614660943136
AP75,41.67659556866853
AP_small,11.105279029947477
AP_medium,37.293357399701
AP_large,55.89848460717855
AR1,29.970220908220917
AR10,45.313356010690676
AR100,45.5087014563317
AR_small,15.206756905054972
AR_medium,44.040775266235364
AR_large,59.88397560159358
AR50-95,45.5087014563317
paper_mAP50-95,40.747591548969154
paper_AR50-95,45.5087014563317
mIoU_all,82.12307439172343
mPA_all,88.48208728829347
mPrecision_all,90.7812306453405
mIoU_o,77.44940090121544
mIoU_d,98.76489745809879
IoU_class_0,98.19696575890407
IoU_class_1,82.95858440242246
IoU_class_2,81.38470748313225
IoU_class_3,63.075331876455074
IoU_class_4,87.42495508609257
IoU_class_5,79.40541790729738
IoU_class_6,89.86740011249118
IoU_class_7,58.02940944061721
IoU_class_8,98.76489745809879
dark_times,night
dim_lightings,dim
dim_times,"daytime,night"
dim_weathers,"overcast,rainy"
small_area,4096.0
small_area_space,original
dark_count,175
dark_mAP50-95,40.670654902994855
dark_AP50,73.20206023025439
dark_AP75,39.84088142494435
dark_AP_small,12.212661830779425
dark_AP_medium,30.429932885396322
dark_AP_large,70.15741842142484
dark_AR1,31.583827329381364
dark_AR10,46.69399659088442
dark_AR100,46.69399659088442
dark_AR_small,17.174671963404357
dark_AR_medium,38.098799363518005
dark_AR_large,73.71428571428571
dark_AR50-95,46.69399659088442
dark_mIoU_all,47.489648349059664
dark_mPA_all,85.18244202084271
dark_mPrecision_all,52.31563502699519
dark_mIoU_o,30.79504730095622
dark_mIoU_d,98.1029023737307
dark_IoU_class_0,97.04400061300932
dark_IoU_class_1,50.942859393310044
dark_IoU_class_2,44.44620598678444
dark_IoU_class_3,0.0
dark_IoU_class_4,0.0
dark_IoU_class_5,0.0
dark_IoU_class_6,89.38121842564281
dark_IoU_class_7,nan
dark_IoU_class_8,98.1029023737307
dim_count,415
dim_mAP50-95,37.34463430171645
dim_AP50,69.03590852403806
dim_AP75,36.48034181905075
dim_AP_small,17.084041843816923
dim_AP_medium,20.173680424839294
dim_AP_large,46.863768917694166
dim_AR1,32.81777451938742
dim_AR10,41.97752874365778
dim_AR100,42.28756458595168
dim_AR_small,19.184350132625998
dim_AR_medium,24.031339031339034
dim_AR_large,51.36682444061963
dim_AR50-95,42.28756458595168
dim_mIoU_all,46.79533937585148
dim_mPA_all,74.70501635824297
dim_mPrecision_all,58.52519292034495
dim_mIoU_o,32.086440390895554
dim_mIoU_d,98.57566162784316
dim_IoU_class_0,97.9773100185513
dim_IoU_class_1,62.342467413871795
dim_IoU_class_2,0.0
dim_IoU_class_3,39.05267295597484
dim_IoU_class_4,0.0
dim_IoU_class_5,33.82872394077944
dim_IoU_class_6,89.38121842564281
dim_IoU_class_7,0.0
dim_IoU_class_8,98.57566162784316
small_count,6128
small_mAP50-95,35.106618813087934
small_AP50,65.53376886390636
small_AP75,34.132209274522914
small_AP_small,11.305581690151621
small_AP_medium,36.494265635469006
small_AP_large,56.67349282383339
small_AR1,24.582836629256793
small_AR10,39.869597793415416
small_AR100,40.09052391742978
small_AR_small,15.206756905054972
small_AR_medium,43.28208270742714
small_AR_large,60.779718986890664
small_AR50-95,40.09052391742978
small_mIoU_all,79.39885028049105
small_mPA_all,86.88976957233697
small_mPrecision_all,88.52339183799869
small_mIoU_o,73.92455607737564
small_mIoU_d,98.79291438237358
small_IoU_class_0,98.3248456004165
small_IoU_class_1,80.77157525630503
small_IoU_class_2,78.92584389666139
small_IoU_class_3,58.528856253049256
small_IoU_class_4,86.25371353534479
small_IoU_class_5,74.00710378861606
small_IoU_class_6,87.1536805522155
small_IoU_class_7,51.831119259437365
small_IoU_class_8,98.79291438237358
mAP_da,40.670654902994855
mIoUda_d,98.1029023737307
mAP_di,37.34463430171645
mIoUdi_d,98.57566162784316
mAP_sm,35.106618813087934
mIoUsm_o,73.92455607737564
