metric,value
mAP50-95,40.54530138088824
AP50,70.27257184721822
AP75,41.358813594522346
AP_small,11.11441061496118
AP_medium,36.99720994125461
AP_large,55.57076876495623
AR1,29.997104069430147
AR10,45.22385977612167
AR100,45.400641010714224
AR_small,15.61904269830738
AR_medium,43.658113713540104
AR_large,59.72858623273002
AR50-95,45.400641010714224
paper_mAP50-95,40.54530138088824
paper_AR50-95,45.400641010714224
mIoU_all,82.10946519910587
mPA_all,88.46874526236203
mPrecision_all,90.76145285364076
mIoU_o,77.43134377265497
mIoU_d,98.76610662225606
IoU_class_0,98.19967376111195
IoU_class_1,82.99294610310136
IoU_class_2,81.45689305578333
IoU_class_3,62.99555095370026
IoU_class_4,87.4406581714399
IoU_class_5,79.58933908466159
IoU_class_6,89.89607705474324
IoU_class_7,57.64794198515507
IoU_class_8,98.76610662225606
dark_times,night
dim_lightings,dim
dim_times,"daytime,night"
dim_weathers,"overcast,rainy"
small_area,4096.0
small_area_space,original
dark_count,175
dark_mAP50-95,41.051525771362364
dark_AP50,73.15681798301327
dark_AP75,39.33065289352341
dark_AP_small,11.170207625648846
dark_AP_medium,30.67462682615232
dark_AP_large,71.14217092670343
dark_AR1,32.12236987818384
dark_AR10,46.91755151673072
dark_AR100,46.93626636701192
dark_AR_small,16.15866136992897
dark_AR_medium,38.000650947490236
dark_AR_large,74.95238095238095
dark_AR50-95,46.93626636701192
dark_mIoU_all,47.432724353229915
dark_mPA_all,85.00371384018322
dark_mPrecision_all,52.33956838594461
dark_mIoU_o,30.716937337762708
dark_mIoU_d,98.09782199836093
dark_IoU_class_0,97.06234880090214
dark_IoU_class_1,50.932288606361766
dark_IoU_class_2,43.98981375444518
dark_IoU_class_3,0.0
dark_IoU_class_4,0.0
dark_IoU_class_5,0.0
dark_IoU_class_6,89.37952166576929
dark_IoU_class_7,nan
dark_IoU_class_8,98.09782199836093
dim_count,415
dim_mAP50-95,38.1533114682419
dim_AP50,70.31394254331738
dim_AP75,37.21511571969936
dim_AP_small,16.88296531513151
dim_AP_medium,22.932521786276773
dim_AP_large,47.827264280671585
dim_AR1,33.87481186674735
dim_AR10,43.64680600164471
dim_AR100,43.92279166472715
dim_AR_small,18.720159151193634
dim_AR_medium,25.68376068376069
dim_AR_large,52.93538439472174
dim_AR50-95,43.92279166472715
dim_mIoU_all,47.131679923344585
dim_mPA_all,75.19060518354377
dim_mPrecision_all,58.861986188507174
dim_mIoU_o,32.515562838640946
dim_mIoU_d,98.58011559732564
dim_IoU_class_0,97.99606384228903
dim_IoU_class_1,62.50581617261267
dim_IoU_class_2,0.0
dim_IoU_class_3,39.37053514584953
dim_IoU_class_4,0.0
dim_IoU_class_5,36.353066886255135
dim_IoU_class_6,89.37952166576929
dim_IoU_class_7,0.0
dim_IoU_class_8,98.58011559732564
small_count,6128
small_mAP50-95,34.94210137852723
small_AP50,64.83015114328151
small_AP75,33.92708075903924
small_AP_small,11.335741027555033
small_AP_medium,36.22968647151136
small_AP_large,56.15287585769951
small_AR1,24.669646011926787
small_AR10,39.814819080355285
small_AR100,40.00910857501232
small_AR_small,15.61904269830738
small_AR_medium,42.978442207698826
small_AR_large,60.32539696981624
small_AR50-95,40.00910857501232
small_mIoU_all,79.43348054618599
small_mPA_all,86.89809268903993
small_mPrecision_all,88.57216529463477
small_mIoU_o,73.96857333142728
small_mIoU_d,98.7940196979202
small_IoU_class_0,98.32729189776276
small_IoU_class_1,80.80382461356616
small_IoU_class_2,79.04457885718517
small_IoU_class_3,58.4670460593654
small_IoU_class_4,86.25030684074112
small_IoU_class_5,73.97548517165276
small_IoU_class_6,87.2003635982121
small_IoU_class_7,52.03840817926832
small_IoU_class_8,98.7940196979202
mAP_da,41.051525771362364
mIoUda_d,98.09782199836093
mAP_di,38.1533114682419
mIoUdi_d,98.58011559732564
mAP_sm,34.94210137852723
mIoUsm_o,73.96857333142728
