metric,value
mAP50-95,51.91770370187492
AP50,79.820852228359
AP75,55.964230016897396
AP_small,19.18278809348518
AP_medium,49.84761072470549
AP_large,66.73163130943342
AR1,35.03934567111135
AR10,58.58809567568494
AR100,60.28169485725952
AR_small,30.664372916572212
AR_medium,60.515618930200375
AR_large,72.69288652390391
AR50-95,60.28169485725952
paper_mAP50-95,51.91770370187492
paper_AR50-95,60.28169485725952
mIoU_all,84.25905616719211
mPA_all,92.08306340722375
mPrecision_all,90.06365269252392
mIoU_o,80.14886883037829
mIoU_d,98.8993561475821
IoU_class_0,98.39006754449872
IoU_class_1,84.64105812810594
IoU_class_2,83.36211708265685
IoU_class_3,69.16186906811134
IoU_class_4,88.78982120855005
IoU_class_5,82.38300818890869
IoU_class_6,90.58279184295994
IoU_class_7,62.12141629335534
IoU_class_8,98.8993561475821
dark_times,night
dim_lightings,dim
dim_times,"daytime,night"
dim_weathers,"overcast,rainy"
small_area,4096.0
small_area_space,original
dark_count,175
dark_mAP50-95,48.109066266389775
dark_AP50,81.24225878357304
dark_AP75,47.416756797723295
dark_AP_small,18.078525452488012
dark_AP_medium,38.888062047788374
dark_AP_large,75.6040580029229
dark_AR1,32.97663561548651
dark_AR10,57.20051082448483
dark_AR100,61.73045458493477
dark_AR_small,37.32394366197183
dark_AR_medium,55.03869521191957
dark_AR_large,82.47619047619047
dark_AR50-95,61.73045458493477
dark_mIoU_all,63.97587972242922
dark_mPA_all,88.85477868967484
dark_mPrecision_all,68.20173458590526
dark_mIoU_o,47.223173223183835
dark_mIoU_d,98.14366039947699
dark_IoU_class_0,96.81892504236302
dark_IoU_class_1,52.83428770774143
dark_IoU_class_2,46.77928560368876
dark_IoU_class_3,0.0
dark_IoU_class_4,nan
dark_IoU_class_5,nan
dark_IoU_class_6,89.27911958130514
dark_IoU_class_7,nan
dark_IoU_class_8,98.14366039947699
dim_count,415
dim_mAP50-95,49.72653851299556
dim_AP50,85.5677117094738
dim_AP75,50.33722106188587
dim_AP_small,23.37504114060146
dim_AP_medium,38.47672963911012
dim_AP_large,58.48292201630332
dim_AR1,37.6764767490574
dim_AR10,58.409478812704606
dim_AR100,60.59556005523747
dim_AR_small,29.74137931034483
dim_AR_medium,54.57710113960115
dim_AR_large,66.58290304073437
dim_AR50-95,60.59556005523747
dim_mIoU_all,77.74799401765607
dim_mPA_all,85.29880375017882
dim_mPrecision_all,87.65748419115957
dim_mIoU_o,67.42036394963094
dim_mIoU_d,98.74171200142105
dim_IoU_class_0,98.06479630599156
dim_IoU_class_1,64.85092587953108
dim_IoU_class_2,nan
dim_IoU_class_3,56.9925307440385
dim_IoU_class_4,nan
dim_IoU_class_5,58.558879593649074
dim_IoU_class_6,89.27911958130514
dim_IoU_class_7,nan
dim_IoU_class_8,98.74171200142105
small_count,6128
small_mAP50-95,46.85550318009441
small_AP50,76.39032172274109
small_AP75,48.70730226872723
small_AP_small,19.74077123057064
small_AP_medium,49.29231430964256
small_AP_large,70.0880508524865
small_AR1,29.672132788344197
small_AR10,53.81502484181135
small_AR100,55.76285566877871
small_AR_small,30.664372916572212
small_AR_medium,59.886599778967906
small_AR_large,76.13129739111972
small_AR50-95,55.76285566877871
small_mIoU_all,81.88625916210643
small_mPA_all,90.83298768841074
small_mPrecision_all,88.12864593512792
small_mIoU_o,77.08013888452186
small_mIoU_d,98.91736809647539
small_IoU_class_0,98.49799217082949
small_IoU_class_1,82.35785556861657
small_IoU_class_2,81.11734832964903
small_IoU_class_3,63.137340738629476
small_IoU_class_4,88.2514953424934
small_IoU_class_5,77.37008433752459
small_IoU_class_6,88.7623581640141
small_IoU_class_7,58.56448971072582
small_IoU_class_8,98.91736809647539
mAP_da,48.109066266389775
mIoUda_d,98.14366039947699
mAP_di,49.72653851299556
mIoUdi_d,98.74171200142105
mAP_sm,46.85550318009441
mIoUsm_o,77.08013888452186
