metric,value
mAP50-95,51.82931869912926
AP50,80.08288738125738
AP75,55.86666113388864
AP_small,18.489573064653158
AP_medium,49.79456082174075
AP_large,66.48497797705078
AR1,34.754859238296646
AR10,59.69123444739451
AR100,62.11117598942801
AR_small,32.72957564595377
AR_medium,62.81407445468004
AR_large,73.820636993986
AR50-95,62.11117598942801
paper_mAP50-95,51.82931869912926
paper_AR50-95,62.11117598942801
mIoU_all,84.25905616719211
mPA_all,92.08306340722375
mPrecision_all,90.06365269252392
mIoU_o,80.14886883037829
mIoU_d,98.8993561475821
IoU_class_0,98.39006754449872
IoU_class_1,84.64105812810594
IoU_class_2,83.36211708265685
IoU_class_3,69.16186906811134
IoU_class_4,88.78982120855005
IoU_class_5,82.38300818890869
IoU_class_6,90.58279184295994
IoU_class_7,62.12141629335534
IoU_class_8,98.8993561475821
dark_times,night
dim_lightings,dim
dim_times,"daytime,night"
dim_weathers,"overcast,rainy"
small_area,4096.0
small_area_space,original
dark_count,175
dark_mAP50-95,47.07517299324495
dark_AP50,80.55818042211209
dark_AP75,45.669873763245725
dark_AP_small,16.52665623915431
dark_AP_medium,38.033236505029066
dark_AP_large,74.87209514530099
dark_AR1,32.81757431654833
dark_AR10,56.39772381820944
dark_AR100,62.07582839337286
dark_AR_small,37.686288672204164
dark_AR_medium,55.26428468103573
dark_AR_large,83.33333333333333
dark_AR50-95,62.07582839337286
dark_mIoU_all,63.97587972242922
dark_mPA_all,88.85477868967484
dark_mPrecision_all,68.20173458590526
dark_mIoU_o,47.223173223183835
dark_mIoU_d,98.14366039947699
dark_IoU_class_0,96.81892504236302
dark_IoU_class_1,52.83428770774143
dark_IoU_class_2,46.77928560368876
dark_IoU_class_3,0.0
dark_IoU_class_4,nan
dark_IoU_class_5,nan
dark_IoU_class_6,89.27911958130514
dark_IoU_class_7,nan
dark_IoU_class_8,98.14366039947699
dim_count,415
dim_mAP50-95,49.98674481073997
dim_AP50,86.42273029017025
dim_AP75,50.3198529884916
dim_AP_small,25.996332611153882
dim_AP_medium,35.82763429525618
dim_AP_large,59.02711962026258
dim_AR1,37.38904017129824
dim_AR10,61.62840773324645
dim_AR100,64.23145432822854
dim_AR_small,33.16976127320955
dim_AR_medium,55.894764957264954
dim_AR_large,70.25803212851406
dim_AR50-95,64.23145432822854
dim_mIoU_all,77.74799401765607
dim_mPA_all,85.29880375017882
dim_mPrecision_all,87.65748419115957
dim_mIoU_o,67.42036394963094
dim_mIoU_d,98.74171200142105
dim_IoU_class_0,98.06479630599156
dim_IoU_class_1,64.85092587953108
dim_IoU_class_2,nan
dim_IoU_class_3,56.9925307440385
dim_IoU_class_4,nan
dim_IoU_class_5,58.558879593649074
dim_IoU_class_6,89.27911958130514
dim_IoU_class_7,nan
dim_IoU_class_8,98.74171200142105
small_count,6128
small_mAP50-95,46.89024802482964
small_AP50,76.77027070647162
small_AP75,48.74917729991948
small_AP_small,19.049360941860083
small_AP_medium,49.28811488818153
small_AP_large,70.01437894001965
small_AR1,29.435656055818953
small_AR10,55.03814958207194
small_AR100,57.82434429580269
small_AR_small,32.72957564595377
small_AR_medium,62.20536642702926
small_AR_large,77.34735508550999
small_AR50-95,57.82434429580269
small_mIoU_all,81.88625916210643
small_mPA_all,90.83298768841074
small_mPrecision_all,88.12864593512792
small_mIoU_o,77.08013888452186
small_mIoU_d,98.91736809647539
small_IoU_class_0,98.49799217082949
small_IoU_class_1,82.35785556861657
small_IoU_class_2,81.11734832964903
small_IoU_class_3,63.137340738629476
small_IoU_class_4,88.2514953424934
small_IoU_class_5,77.37008433752459
small_IoU_class_6,88.7623581640141
small_IoU_class_7,58.56448971072582
small_IoU_class_8,98.91736809647539
mAP_da,47.07517299324495
mIoUda_d,98.14366039947699
mAP_di,49.98674481073997
mIoUdi_d,98.74171200142105
mAP_sm,46.89024802482964
mIoUsm_o,77.08013888452186
