metric,value
mAP50-95,49.77327245662927
AP50,78.70039731547688
AP75,52.937451988263284
AP_small,17.839420318586203
AP_medium,47.3862306095022
AP_large,64.46433062240004
AR1,34.78456051406444
AR10,54.13861763754365
AR100,54.683559612710816
AR_small,24.825937324438772
AR_medium,54.07028505076771
AR_large,68.35826609944989
AR50-95,54.683559612710816
paper_mAP50-95,49.77327245662927
paper_AR50-95,54.683559612710816
mIoU_all,83.87845974540011
mPA_all,90.77164254871012
mPrecision_all,90.7902259604309
mIoU_o,79.67131614371858
mIoU_d,98.85364988034252
IoU_class_0,98.35327482222849
IoU_class_1,84.56925300409912
IoU_class_2,83.55633912761049
IoU_class_3,67.70665032896892
IoU_class_4,88.71778393199156
IoU_class_5,81.74974131418602
IoU_class_6,90.6115678274515
IoU_class_7,60.78787747172251
IoU_class_8,98.85364988034252
dark_times,night
dim_lightings,dim
dim_times,"daytime,night"
dim_weathers,"overcast,rainy"
small_area,4096.0
small_area_space,original
dark_count,175
dark_mAP50-95,46.67577197711093
dark_AP50,81.02805025071584
dark_AP75,44.85468574702031
dark_AP_small,18.654340973029417
dark_AP_medium,36.92482866675456
dark_AP_large,73.89489679204833
dark_AR1,33.45132238942087
dark_AR10,54.36124682431112
dark_AR100,55.406618461338006
dark_AR_small,29.896472854219336
dark_AR_medium,47.97815709532763
dark_AR_large,77.9047619047619
dark_AR50-95,55.406618461338006
dark_mIoU_all,48.046392894205496
dark_mPA_all,87.03711721974872
dark_mPrecision_all,52.062340619435844
dark_mIoU_o,31.51480657409058
dark_mIoU_d,98.19618591470493
dark_IoU_class_0,97.08611779439553
dark_IoU_class_1,51.336789860709274
dark_IoU_class_2,47.88959015557545
dark_IoU_class_3,0.0
dark_IoU_class_4,0.0
dark_IoU_class_5,0.0
dark_IoU_class_6,89.86245942825877
dark_IoU_class_7,nan
dark_IoU_class_8,98.19618591470493
dim_count,415
dim_mAP50-95,46.038958323714155
dim_AP50,86.24256464698992
dim_AP75,44.52723121977379
dim_AP_small,14.00155736278622
dim_AP_medium,36.71478724257975
dim_AP_large,55.47813064416407
dim_AR1,36.705875963940485
dim_AR10,51.53383683222393
dim_AR100,52.557134323263355
dim_AR_small,18.0106100795756
dim_AR_medium,45.162927350427346
dim_AR_large,60.351190476190474
dim_AR50-95,52.557134323263355
dim_mIoU_all,65.82552703534986
dim_mPA_all,82.81857992052623
dim_mPrecision_all,76.26872015191354
dim_mIoU_o,52.780039650854185
dim_mIoU_d,98.72748328718303
dim_IoU_class_0,98.15100770599521
dim_IoU_class_1,64.48561214522431
dim_IoU_class_2,nan
dim_IoU_class_3,55.727282229773465
dim_IoU_class_4,0.0
dim_IoU_class_5,53.82484445101431
dim_IoU_class_6,89.86245942825877
dim_IoU_class_7,nan
dim_IoU_class_8,98.72748328718303
small_count,6128
small_mAP50-95,44.532758225093225
small_AP50,74.77837811630467
small_AP75,45.58337974500527
small_AP_small,18.266139639931968
small_AP_medium,46.694021744524065
small_AP_large,67.52124331409239
small_AR1,29.342275843178545
small_AR10,49.10195843947833
small_AR100,49.736365365193926
small_AR_small,24.825937324438772
small_AR_medium,53.3807040220486
small_AR_large,71.33627867080993
small_AR50-95,49.736365365193926
small_mIoU_all,81.58068223431417
small_mPA_all,89.35371232516172
small_mPrecision_all,89.08616924067769
small_mIoU_o,76.69695275191495
small_mIoU_d,98.88211367367917
small_IoU_class_0,98.46535717174366
small_IoU_class_1,82.35795621826236
small_IoU_class_2,81.35080372672412
small_IoU_class_3,62.453629281059705
small_IoU_class_4,88.19268411149976
small_IoU_class_5,76.58340161590787
small_IoU_class_6,88.43059650706451
small_IoU_class_7,57.50959780288626
small_IoU_class_8,98.88211367367917
mAP_da,46.67577197711093
mIoUda_d,98.19618591470493
mAP_di,46.038958323714155
mIoUdi_d,98.72748328718303
mAP_sm,44.532758225093225
mIoUsm_o,76.69695275191495
