metric,value
mAP50-95,50.11351475926919
AP50,78.81943168693466
AP75,53.29068235638221
AP_small,18.17604048054859
AP_medium,47.664388819274556
AP_large,64.89441408495132
AR1,34.97605627937894
AR10,54.27780285126552
AR100,54.82658338248645
AR_small,25.081221780847844
AR_medium,54.22259167563321
AR_large,68.54086806421198
AR50-95,54.82658338248645
paper_mAP50-95,50.11351475926919
paper_AR50-95,54.82658338248645
mIoU_all,84.08261713207264
mPA_all,91.37790032844306
mPrecision_all,90.47540077415313
mIoU_o,79.92538710956832
mIoU_d,98.88557689764485
IoU_class_0,98.38026752403051
IoU_class_1,84.66416166759105
IoU_class_2,83.4933053784297
IoU_class_3,68.2836921526374
IoU_class_4,88.79800500928722
IoU_class_5,81.91584655438922
IoU_class_6,90.68674196240907
IoU_class_7,61.63595704223466
IoU_class_8,98.88557689764485
dark_times,night
dim_lightings,dim
dim_times,"daytime,night"
dim_weathers,"overcast,rainy"
small_area,4096.0
small_area_space,original
dark_count,175
dark_mAP50-95,46.78466679132322
dark_AP50,80.43427492125709
dark_AP75,45.431884172342066
dark_AP_small,18.5648945620543
dark_AP_medium,37.22465447124813
dark_AP_large,74.22283270743404
dark_AR1,33.52072069137732
dark_AR10,54.55604412307557
dark_AR100,55.518766421297194
dark_AR_small,29.881425303960512
dark_AR_medium,48.070591638941124
dark_AR_large,78.19047619047618
dark_AR50-95,55.518766421297194
dark_mIoU_all,64.141576750204
dark_mPA_all,88.3060532009927
dark_mPrecision_all,68.78052547019679
dark_mIoU_o,47.41968154741883
dark_mIoU_d,98.20600229957796
dark_IoU_class_0,96.96473201197071
dark_IoU_class_1,52.73997848223527
dark_IoU_class_2,47.306288021342624
dark_IoU_class_3,0.0
dark_IoU_class_4,nan
dark_IoU_class_5,nan
dark_IoU_class_6,89.63245968609742
dark_IoU_class_7,nan
dark_IoU_class_8,98.20600229957796
dim_count,415
dim_mAP50-95,46.090543783705755
dim_AP50,84.96051071769543
dim_AP75,46.74113780603844
dim_AP_small,13.92663667302661
dim_AP_medium,38.864463295890836
dim_AP_large,55.098044617456225
dim_AR1,37.2288902853419
dim_AR10,51.88347763347764
dim_AR100,52.72636891185278
dim_AR_small,17.745358090185675
dim_AR_medium,48.854166666666664
dim_AR_large,59.8021371199082
dim_AR50-95,52.72636891185278
dim_mIoU_all,64.72907669365723
dim_mPA_all,81.76937194308952
dim_mPrecision_all,75.80604666642071
dim_mIoU_o,51.260486833206734
dim_mIoU_d,98.73496837495442
dim_IoU_class_0,98.06613431461258
dim_IoU_class_1,64.61366076251393
dim_IoU_class_2,nan
dim_IoU_class_3,54.70027644405645
dim_IoU_class_4,0.0
dim_IoU_class_5,47.35603727336585
dim_IoU_class_6,89.63245968609742
dim_IoU_class_7,nan
dim_IoU_class_8,98.73496837495442
small_count,6128
small_mAP50-95,44.81338359130463
small_AP50,75.03579205053532
small_AP75,45.795800620597966
small_AP_small,18.620810951571663
small_AP_medium,46.93661647381828
small_AP_large,67.66647925663858
small_AR1,29.470781841618525
small_AR10,49.2106627609309
small_AR100,49.82446561636317
small_AR_small,25.081221780847844
small_AR_medium,53.48565946388128
small_AR_large,71.15843082781306
small_AR50-95,49.82446561636317
small_mIoU_all,81.79162405075103
small_mPA_all,90.15086700682944
small_mPrecision_all,88.58941497924235
small_mIoU_o,76.96076556808723
small_mIoU_d,98.90866761703407
small_IoU_class_0,98.4905898631146
small_IoU_class_1,82.40918509721345
small_IoU_class_2,81.262828606077
small_IoU_class_3,62.81068848973763
small_IoU_class_4,88.37842934045746
small_IoU_class_5,77.27896271645413
small_IoU_class_6,88.81337277594251
small_IoU_class_7,57.771891950728374
small_IoU_class_8,98.90866761703407
mAP_da,46.78466679132322
mIoUda_d,98.20600229957796
mAP_di,46.090543783705755
mIoUdi_d,98.73496837495442
mAP_sm,44.81338359130463
mIoUsm_o,76.96076556808723
