metric,value
mAP50-95,49.83164738388747
AP50,78.67303355982344
AP75,52.87745467783943
AP_small,17.562535356681856
AP_medium,47.686634184470776
AP_large,64.2970322989149
AR1,34.746876422294186
AR10,54.182104435819554
AR100,54.730964557028784
AR_small,24.526749629032242
AR_medium,54.48917703165452
AR_large,68.16097798678939
AR50-95,54.730964557028784
paper_mAP50-95,49.83164738388747
paper_AR50-95,54.730964557028784
mIoU_all,83.17827766497656
mPA_all,90.79680496433026
mPrecision_all,89.76630408844434
mIoU_o,78.77450919114744
mIoU_d,98.8545499063235
IoU_class_0,98.32838474043342
IoU_class_1,83.95118798576738
IoU_class_2,82.76649082695144
IoU_class_3,67.44908297223027
IoU_class_4,88.51196784292443
IoU_class_5,80.8033175592708
IoU_class_6,90.1100270312467
IoU_class_7,57.829490119641115
IoU_class_8,98.8545499063235
dark_times,night
dim_lightings,dim
dim_times,"daytime,night"
dim_weathers,"overcast,rainy"
small_area,4096.0
small_area_space,original
dark_count,175
dark_mAP50-95,47.449256681979094
dark_AP50,81.63657549617169
dark_AP75,45.92866760121807
dark_AP_small,19.802133793745206
dark_AP_medium,38.224130833873495
dark_AP_large,74.05683856512738
dark_AR1,33.6938418778364
dark_AR10,55.60222461077452
dark_AR100,56.474255205958336
dark_AR_small,31.0755988925003
dark_AR_medium,49.282221900766665
dark_AR_large,78.66666666666667
dark_AR50-95,56.474255205958336
dark_mIoU_all,47.89196425887324
dark_mPA_all,89.44548418054212
dark_mPrecision_all,50.863164029723926
dark_mIoU_o,31.37339472880984
dark_mIoU_d,98.13048638951601
dark_IoU_class_0,96.76485930861088
dark_IoU_class_1,51.83438151146246
dark_IoU_class_2,47.59277756039294
dark_IoU_class_3,0.0
dark_IoU_class_4,0.0
dark_IoU_class_5,0.0
dark_IoU_class_6,88.81320930100362
dark_IoU_class_7,nan
dark_IoU_class_8,98.13048638951601
dim_count,415
dim_mAP50-95,45.830092332046405
dim_AP50,85.01377868553507
dim_AP75,44.03368743933881
dim_AP_small,14.081773359775996
dim_AP_medium,37.27265137917855
dim_AP_large,55.04850124360714
dim_AR1,37.85590544461512
dim_AR10,51.03155983801144
dim_AR100,51.87995546866514
dim_AR_small,18.156498673740057
dim_AR_medium,42.524928774928775
dim_AR_large,59.671184738955816
dim_AR50-95,51.87995546866514
dim_mIoU_all,64.72138828530011
dim_mPA_all,82.82594622816897
dim_mPrecision_all,74.50925027769753
dim_mIoU_o,51.285193020274434
dim_mIoU_d,98.67255478328488
dim_IoU_class_0,97.95119811244363
dim_IoU_class_1,63.435199756891734
dim_IoU_class_2,nan
dim_IoU_class_3,55.5107758352848
dim_IoU_class_4,0.0
dim_IoU_class_5,48.66695231636366
dim_IoU_class_6,88.81303719283196
dim_IoU_class_7,nan
dim_IoU_class_8,98.67255478328488
small_count,6128
small_mAP50-95,44.656362469324286
small_AP50,74.73680230505433
small_AP75,45.33189734775384
small_AP_small,17.998478409455092
small_AP_medium,47.01629157030928
small_AP_large,67.40880266368616
small_AR1,29.365646793287393
small_AR10,49.228798472754654
small_AR100,49.85002225362986
small_AR_small,24.526749629032242
small_AR_medium,53.812935376047896
small_AR_large,71.08583480593752
small_AR50-95,49.85002225362986
small_mIoU_all,81.08711256165648
small_mPA_all,90.26435979344198
small_mPrecision_all,87.56337320423475
small_mIoU_o,76.06722142436466
small_mIoU_d,98.87301381365488
small_IoU_class_0,98.44044927070082
small_IoU_class_1,81.74397667316546
small_IoU_class_2,80.51102904280482
small_IoU_class_3,62.02822201202321
small_IoU_class_4,88.06505558615106
small_IoU_class_5,76.34891852046636
small_IoU_class_6,88.18252720846247
small_IoU_class_7,55.59082092747928
small_IoU_class_8,98.87301381365488
mAP_da,47.449256681979094
mIoUda_d,98.13048638951601
mAP_di,45.830092332046405
mIoUdi_d,98.67255478328488
mAP_sm,44.656362469324286
mIoUsm_o,76.06722142436466
