metric,value
mAP50-95,47.85573487946105
AP50,76.70766095642213
AP75,50.609589208390005
AP_small,16.72868051164451
AP_medium,44.83405065492085
AP_large,62.49380468225956
AR1,33.79906996962455
AR10,52.22241375296943
AR100,52.74322410072706
AR_small,24.205956474024216
AR_medium,51.561824187438354
AR_large,66.45660772715148
AR50-95,52.74322410072706
paper_mAP50-95,47.85573487946105
paper_AR50-95,52.74322410072706
mIoU_all,80.46170321563747
mPA_all,86.00199855083048
mPrecision_all,91.37248857482132
mIoU_o,75.52251172743725
mIoU_d,98.09784900455014
IoU_class_0,97.39989784412636
IoU_class_1,82.88409657065971
IoU_class_2,80.23800742683848
IoU_class_3,62.46344920806231
IoU_class_4,87.62901255611882
IoU_class_5,78.13701115472064
IoU_class_6,89.58706151818805
IoU_class_7,47.71894365747274
IoU_class_8,98.09784900455014
dark_times,night
dim_lightings,dim
dim_times,"daytime,night"
dim_weathers,"overcast,rainy"
small_area,4096.0
small_area_space,original
dark_count,175
dark_mAP50-95,43.657446178439784
dark_AP50,79.89840686283492
dark_AP75,41.707617582631
dark_AP_small,15.032892007479173
dark_AP_medium,34.6584032952013
dark_AP_large,70.24233840069472
dark_AR1,31.921359629122975
dark_AR10,51.142270861833104
dark_AR100,52.09473324213406
dark_AR_small,27.45515830022872
dark_AR_medium,45.51938376970924
dark_AR_large,73.33333333333333
dark_AR50-95,52.09473324213406
dark_mIoU_all,53.98711496447368
dark_mPA_all,85.15190927579793
dark_mPrecision_all,59.45954675194951
dark_mIoU_o,36.66320429948503
dark_mIoU_d,97.94938814107535
dark_IoU_class_0,96.64439511281525
dark_IoU_class_1,52.83291105866616
dark_IoU_class_2,41.4805738068578
dark_IoU_class_3,0.0
dark_IoU_class_4,0.0
dark_IoU_class_5,nan
dark_IoU_class_6,89.00253663190121
dark_IoU_class_7,nan
dark_IoU_class_8,97.94938814107535
dim_count,415
dim_mAP50-95,42.420168326756624
dim_AP50,78.21139568756885
dim_AP75,43.575866579016925
dim_AP_small,12.616919207303889
dim_AP_medium,34.311974166576306
dim_AP_large,52.14087992661225
dim_AR1,35.55254154447702
dim_AR10,47.3163082437276
dim_AR100,48.022102747909194
dim_AR_small,16.750663129973475
dim_AR_medium,43.57193732193733
dim_AR_large,56.041164658634536
dim_AR50-95,48.022102747909194
dim_mIoU_all,53.49885657442612
dim_mPA_all,76.08521334988917
dim_mPrecision_all,66.52906505943272
dim_mIoU_o,38.95384315337062
dim_mIoU_d,97.67154853860819
dim_IoU_class_0,96.59624513657708
dim_IoU_class_1,60.15510439671675
dim_IoU_class_2,0.0
dim_IoU_class_3,45.502409702898454
dim_IoU_class_4,0.0
dim_IoU_class_5,39.06300818870728
dim_IoU_class_6,89.00253663190121
dim_IoU_class_7,nan
dim_IoU_class_8,97.67154853860819
small_count,6128
small_mAP50-95,42.61456480427693
small_AP50,72.37648020716045
small_AP75,42.96369837580972
small_AP_small,17.142264791139027
small_AP_medium,44.20543219188414
small_AP_large,65.42712122218364
small_AR1,28.4717070763943
small_AR10,47.27366134457062
small_AR100,47.87119980999102
small_AR_small,24.205956474024216
small_AR_medium,50.94284981875911
small_AR_large,69.42311964610563
small_AR50-95,47.87119980999102
small_mIoU_all,78.83172620404135
small_mPA_all,85.42777513665698
small_mPrecision_all,89.63702295753222
small_mIoU_o,73.44544420680343
small_mIoU_d,97.96376396727098
small_IoU_class_0,97.40366242147711
small_IoU_class_1,80.59823487228658
small_IoU_class_2,77.87681557542201
small_IoU_class_3,58.61178372976653
small_IoU_class_4,85.93168917437609
small_IoU_class_5,73.19734517068075
small_IoU_class_6,87.49115909676823
small_IoU_class_7,50.41108182832382
small_IoU_class_8,97.96376396727098
mAP_da,43.657446178439784
mIoUda_d,97.94938814107535
mAP_di,42.420168326756624
mIoUdi_d,97.67154853860819
mAP_sm,42.61456480427693
mIoUsm_o,73.44544420680343
