metric,value
mAP50-95,49.85100557527848
AP50,78.85471992765625
AP75,53.11446013965365
AP_small,17.992950060596144
AP_medium,47.43703433286046
AP_large,64.48559658099204
AR1,34.90727479892949
AR10,54.32377858019218
AR100,54.85620194993922
AR_small,24.996775850055702
AR_medium,54.29252865475134
AR_large,68.41586373337842
AR50-95,54.85620194993922
paper_mAP50-95,49.85100557527848
paper_AR50-95,54.85620194993922
mIoU_all,83.83988686713973
mPA_all,90.86484755623823
mPrecision_all,90.66860927013748
mIoU_o,79.62754550741019
mIoU_d,98.83614399287451
IoU_class_0,98.3300192595118
IoU_class_1,84.52512032531743
IoU_class_2,83.57268574129999
IoU_class_3,67.73560498715904
IoU_class_4,88.66870988351708
IoU_class_5,81.71272390589758
IoU_class_6,90.55618049352493
IoU_class_7,60.62179321515521
IoU_class_8,98.83614399287451
dark_times,night
dim_lightings,dim
dim_times,"daytime,night"
dim_weathers,"overcast,rainy"
small_area,4096.0
small_area_space,original
dark_count,175
dark_mAP50-95,46.51138780094261
dark_AP50,80.57472312091488
dark_AP75,44.611051795216156
dark_AP_small,18.43318787941129
dark_AP_medium,37.308552879756554
dark_AP_large,73.09759438218202
dark_AR1,33.42260004777104
dark_AR10,54.10738985516688
dark_AR100,55.18306624975572
dark_AR_small,29.38605994944023
dark_AR_medium,48.28952697815709
dark_AR_large,77.23809523809524
dark_AR50-95,55.18306624975572
dark_mIoU_all,47.891969360101236
dark_mPA_all,87.23801598599825
dark_mPrecision_all,51.78710604545188
dark_mIoU_o,31.311365603872122
dark_mIoU_d,98.1956966678413
dark_IoU_class_0,97.0718645897359
dark_IoU_class_1,50.35068906504737
dark_IoU_class_2,47.72990994356615
dark_IoU_class_3,0.0
dark_IoU_class_4,0.0
dark_IoU_class_5,0.0
dark_IoU_class_6,89.78759461461921
dark_IoU_class_7,nan
dark_IoU_class_8,98.1956966678413
dim_count,415
dim_mAP50-95,45.658248099276186
dim_AP50,84.6391381584524
dim_AP75,44.074440283380795
dim_AP_small,14.044018898129917
dim_AP_medium,36.72357685144023
dim_AP_large,55.07023465913509
dim_AR1,36.723804868966155
dim_AR10,51.60668900991482
dim_AR100,52.66732222377384
dim_AR_small,17.93103448275862
dim_AR_medium,47.08511396011396
dim_AR_large,60.15440332759609
dim_AR50-95,52.66732222377384
dim_mIoU_all,65.52467121355318
dim_mPA_all,82.53589216299567
dim_mPrecision_all,76.03966104448394
dim_mIoU_o,52.36789763393457
dim_mIoU_d,98.71232466562762
dim_IoU_class_0,98.12088565957174
dim_IoU_class_1,64.07783537909938
dim_IoU_class_2,nan
dim_IoU_class_3,55.647029824993844
dim_IoU_class_4,0.0
dim_IoU_class_5,52.32703427742634
dim_IoU_class_6,89.78758868815328
dim_IoU_class_7,nan
dim_IoU_class_8,98.71232466562762
small_count,6128
small_mAP50-95,44.59343561588769
small_AP50,74.85724590460498
small_AP75,45.65844350455959
small_AP_small,18.427080572999348
small_AP_medium,46.71257449837484
small_AP_large,67.52162131336054
small_AR1,29.464339831737785
small_AR10,49.27702215226632
small_AR100,49.88225256326738
small_AR_small,24.996775850055702
small_AR_medium,53.575986053038264
small_AR_large,71.32358823601857
small_AR50-95,49.88225256326738
small_mIoU_all,81.57369323366557
small_mPA_all,89.46327754257491
small_mPrecision_all,88.98528668499117
small_mIoU_o,76.69376838600805
small_mIoU_d,98.86282990587961
small_IoU_class_0,98.4440304950541
small_IoU_class_1,82.28567340213277
small_IoU_class_2,81.34641172352997
small_IoU_class_3,62.44354886717137
small_IoU_class_4,88.1343123241221
small_IoU_class_5,76.65869589972607
small_IoU_class_6,88.37045701678463
small_IoU_class_7,57.61727946858949
small_IoU_class_8,98.86282990587961
mAP_da,46.51138780094261
mIoUda_d,98.1956966678413
mAP_di,45.658248099276186
mIoUdi_d,98.71232466562762
mAP_sm,44.59343561588769
mIoUsm_o,76.69376838600805
