metric,value
mAP50-95,47.240626904677185
AP50,76.54106411135619
AP75,49.47799499368881
AP_small,16.601767575842434
AP_medium,43.754011544992636
AP_large,62.399863057566364
AR1,33.54840450101592
AR10,51.864405561647295
AR100,52.44283029349157
AR_small,24.54384347168346
AR_medium,50.83271112686174
AR_large,66.46431480278831
AR50-95,52.44283029349157
paper_mAP50-95,47.240626904677185
paper_AR50-95,52.44283029349157
mIoU_all,83.34937709537826
mPA_all,89.62975857717477
mPrecision_all,91.23258156288591
mIoU_o,78.99555488422313
mIoU_d,98.85240248042558
IoU_class_0,98.32310718841694
IoU_class_1,84.3695718452394
IoU_class_2,82.7908516680299
IoU_class_3,65.5282764661982
IoU_class_4,88.50004280372563
IoU_class_5,81.12818318464335
IoU_class_6,90.16324608914388
IoU_class_7,60.488712132581526
IoU_class_8,98.85240248042558
dark_times,night
dim_lightings,dim
dim_times,"daytime,night"
dim_weathers,"overcast,rainy"
small_area,4096.0
small_area_space,original
dark_count,175
dark_mAP50-95,42.71415607894206
dark_AP50,77.9288513240734
dark_AP75,41.05635856104127
dark_AP_small,14.619702816234645
dark_AP_medium,33.61065249661201
dark_AP_large,69.7637810428812
dark_AR1,31.47478177317439
dark_AR10,50.406898030530044
dark_AR100,51.456924630317246
dark_AR_small,26.698567473215363
dark_AR_medium,44.48437726023434
dark_AR_large,73.42857142857142
dark_AR50-95,51.456924630317246
dark_mIoU_all,53.85732874744426
dark_mPA_all,84.65965610543819
dark_mPrecision_all,59.64907417277635
dark_mIoU_o,36.47056733330321
dark_mIoU_d,97.965407532721
dark_IoU_class_0,96.68305703287271
dark_IoU_class_1,53.13711952884053
dark_IoU_class_2,40.61008055349035
dark_IoU_class_3,0.0
dark_IoU_class_4,0.0
dark_IoU_class_5,nan
dark_IoU_class_6,88.60563658418516
dark_IoU_class_7,nan
dark_IoU_class_8,97.965407532721
dim_count,415
dim_mAP50-95,41.312753473655064
dim_AP50,78.5427297963098
dim_AP75,40.15014056665701
dim_AP_small,11.91057831585987
dim_AP_medium,33.732711413004694
dim_AP_large,50.42457027086121
dim_AR1,35.08433024562057
dim_AR10,46.48889044050334
dim_AR100,47.267862961411346
dim_AR_small,15.649867374005305
dim_AR_medium,43.29415954415954
dim_AR_large,54.94449225473321
dim_AR50-95,47.267862961411346
dim_mIoU_all,48.88106253218989
dim_mPA_all,78.80058539990053
dim_mPrecision_all,58.92042592259431
dim_mIoU_o,34.76361778938735
dim_mIoU_d,98.6451363333763
dim_IoU_class_0,97.93910193062133
dim_IoU_class_1,64.56488998416732
dim_IoU_class_2,0.0
dim_IoU_class_3,48.05566268750911
dim_IoU_class_4,0.0
dim_IoU_class_5,42.119135269849814
dim_IoU_class_6,88.60563658418516
dim_IoU_class_7,0.0
dim_IoU_class_8,98.6451363333763
small_count,6128
small_mAP50-95,42.019855224039915
small_AP50,72.31121272519789
small_AP75,41.86448067687035
small_AP_small,17.103843570871447
small_AP_medium,43.14200588058905
small_AP_large,65.63070249023642
small_AR1,28.20847412336631
small_AR10,46.86787715077095
small_AR100,47.524003076547295
small_AR_small,24.54384347168346
small_AR_medium,50.21458606656346
small_AR_large,69.52219914255453
small_AR50-95,47.524003076547295
small_mIoU_all,81.29789413132555
small_mPA_all,88.65488220282106
small_mPrecision_all,89.44081617859376
small_mIoU_o,76.33673622840108
small_mIoU_d,98.87807300104973
small_IoU_class_0,98.44582058207256
small_IoU_class_1,82.18347281373468
small_IoU_class_2,80.35219132624984
small_IoU_class_3,61.698352788526265
small_IoU_class_4,87.63223331482202
small_IoU_class_5,76.31793664581359
small_IoU_class_6,88.38028786237253
small_IoU_class_7,57.792678847288684
small_IoU_class_8,98.87807300104973
mAP_da,42.71415607894206
mIoUda_d,97.965407532721
mAP_di,41.312753473655064
mIoUdi_d,98.6451363333763
mAP_sm,42.019855224039915
mIoUsm_o,76.33673622840108
