metric,value
mAP50-95,49.773344999754904
AP50,78.69174967607391
AP75,52.73875799889397
AP_small,17.84735086495189
AP_medium,47.043332792569934
AP_large,64.79231245943986
AR1,34.58781757597656
AR10,53.82935773612989
AR100,54.42348658010293
AR_small,25.100382414374273
AR_medium,53.46319300865093
AR_large,68.46917246243461
AR50-95,54.42348658010293
paper_mAP50-95,49.773344999754904
paper_AR50-95,54.42348658010293
mIoU_all,84.08665215312445
mPA_all,90.81853076051176
mPrecision_all,91.08680751941101
mIoU_o,79.94745238825371
mIoU_d,98.83322607169475
IoU_class_0,98.31447658864934
IoU_class_1,84.54671798828808
IoU_class_2,83.59909795207173
IoU_class_3,67.90934644548001
IoU_class_4,88.6037765473708
IoU_class_5,81.62068175293837
IoU_class_6,90.77196721273047
IoU_class_7,62.58057881889657
IoU_class_8,98.83322607169475
dark_times,night
dim_lightings,dim
dim_times,"daytime,night"
dim_weathers,"overcast,rainy"
small_area,4096.0
small_area_space,original
dark_count,175
dark_mAP50-95,46.22499654116865
dark_AP50,79.45639858896641
dark_AP75,46.17331238903686
dark_AP_small,18.32042299199977
dark_AP_medium,36.520192298818685
dark_AP_large,74.09045375467078
dark_AR1,33.4673474040779
dark_AR10,54.34571580570212
dark_AR100,55.18702907519596
dark_AR_small,30.377392560491156
dark_AR_medium,47.986836395197464
dark_AR_large,78.1904761904762
dark_AR50-95,55.18702907519596
dark_mIoU_all,63.86488045812159
dark_mPA_all,85.81203857910559
dark_mPrecision_all,70.05606175942101
dark_mIoU_o,47.01035791787768
dark_mIoU_d,98.17526230409563
dark_IoU_class_0,96.97258877312319
dark_IoU_class_1,52.92855272621214
dark_IoU_class_2,45.34310007940686
dark_IoU_class_3,0.0
dark_IoU_class_4,nan
dark_IoU_class_5,nan
dark_IoU_class_6,89.76977886589171
dark_IoU_class_7,nan
dark_IoU_class_8,98.17526230409563
dim_count,415
dim_mAP50-95,45.80069878132396
dim_AP50,84.41262078260725
dim_AP75,45.79901283525992
dim_AP_small,13.854515865697245
dim_AP_medium,38.724301947322985
dim_AP_large,54.65716275624687
dim_AR1,37.24178420146162
dim_AR10,51.135161135161134
dim_AR100,51.925185030023734
dim_AR_small,17.93103448275862
dim_AR_medium,44.57175925925926
dim_AR_large,59.55213711990821
dim_AR50-95,51.925185030023734
dim_mIoU_all,74.58579705970152
dim_mPA_all,79.63410013033133
dim_mPrecision_all,89.81070861825982
dim_mIoU_o,62.68287523899533
dim_mIoU_d,98.71270658279482
dim_IoU_class_0,98.07057481943293
dim_IoU_class_1,64.42393837099665
dim_IoU_class_2,nan
dim_IoU_class_3,52.48384381321629
dim_IoU_class_4,nan
dim_IoU_class_5,44.053939905876675
dim_IoU_class_6,89.76977886589171
dim_IoU_class_7,nan
dim_IoU_class_8,98.71270658279482
small_count,6128
small_mAP50-95,44.43060481410797
small_AP50,74.76106817983387
small_AP75,45.11050816541679
small_AP_small,18.21946216646266
small_AP_medium,46.34327321000753
small_AP_large,67.55394338121606
small_AR1,29.10327427668864
small_AR10,48.721793562974334
small_AR100,49.38441916244788
small_AR_small,25.100382414374273
small_AR_medium,52.73191157925318
small_AR_large,70.89164637534007
small_AR50-95,49.38441916244788
small_mIoU_all,81.67103580458082
small_mPA_all,89.16968428085099
small_mPrecision_all,89.411287384818
small_mIoU_o,76.82142689636726
small_mIoU_d,98.85757409780977
small_IoU_class_0,98.4317598688469
small_IoU_class_1,82.27759434758703
small_IoU_class_2,81.34196934608686
small_IoU_class_3,62.351693337679684
small_IoU_class_4,88.03544922628342
small_IoU_class_5,76.68212167762951
small_IoU_class_6,88.86927076911563
small_IoU_class_7,58.19188957018869
small_IoU_class_8,98.85757409780977
mAP_da,46.22499654116865
mIoUda_d,98.17526230409563
mAP_di,45.80069878132396
mIoUdi_d,98.71270658279482
mAP_sm,44.43060481410797
mIoUsm_o,76.82142689636726
