metric,value
mAP50-95,47.700493819997206
AP50,77.98551021990967
AP75,49.69062007205377
AP_small,16.027434964107098
AP_medium,44.90005447541337
AP_large,62.1282176483949
AR1,33.68606815842318
AR10,53.47439716560366
AR100,54.73597480949327
AR_small,27.654466526005645
AR_medium,53.964003961268695
AR_large,67.17821067196172
AR50-95,54.73597480949327
paper_mAP50-95,47.700493819997206
paper_AR50-95,54.73597480949327
mIoU_all,84.08665215312445
mPA_all,90.81853076051176
mPrecision_all,91.08680751941101
mIoU_o,79.94745238825371
mIoU_d,98.83322607169475
IoU_class_0,98.31447658864934
IoU_class_1,84.54671798828808
IoU_class_2,83.59909795207173
IoU_class_3,67.90934644548001
IoU_class_4,88.6037765473708
IoU_class_5,81.62068175293837
IoU_class_6,90.77196721273047
IoU_class_7,62.58057881889657
IoU_class_8,98.83322607169475
dark_times,night
dim_lightings,dim
dim_times,"daytime,night"
dim_weathers,"overcast,rainy"
small_area,4096.0
small_area_space,original
dark_count,175
dark_mAP50-95,42.89662871267164
dark_AP50,76.72152958759985
dark_AP75,40.755725612753665
dark_AP_small,13.234322619136668
dark_AP_medium,34.16953108404797
dark_AP_large,69.83887897024928
dark_AR1,31.172103337459006
dark_AR10,50.376153562200074
dark_AR100,53.745681605975726
dark_AR_small,32.75309979535332
dark_AR_medium,46.84673802979892
dark_AR_large,74.19047619047619
dark_AR50-95,53.745681605975726
dark_mIoU_all,63.86488045812159
dark_mPA_all,85.81203857910559
dark_mPrecision_all,70.05606175942101
dark_mIoU_o,47.01035791787768
dark_mIoU_d,98.17526230409563
dark_IoU_class_0,96.97258877312319
dark_IoU_class_1,52.92855272621214
dark_IoU_class_2,45.34310007940686
dark_IoU_class_3,0.0
dark_IoU_class_4,nan
dark_IoU_class_5,nan
dark_IoU_class_6,89.76977886589171
dark_IoU_class_7,nan
dark_IoU_class_8,98.17526230409563
dim_count,415
dim_mAP50-95,44.92605757410007
dim_AP50,81.5690564520396
dim_AP75,44.05513949303651
dim_AP_small,14.299407442275871
dim_AP_medium,33.07243330645726
dim_AP_large,53.69058344136288
dim_AR1,34.24517060000931
dim_AR10,50.174804884482306
dim_AR100,51.87744961132058
dim_AR_small,20.013262599469495
dim_AR_medium,41.844729344729345
dim_AR_large,58.38045037292026
dim_AR50-95,51.87744961132058
dim_mIoU_all,74.58579705970152
dim_mPA_all,79.63410013033133
dim_mPrecision_all,89.81070861825982
dim_mIoU_o,62.68287523899533
dim_mIoU_d,98.71270658279482
dim_IoU_class_0,98.07057481943293
dim_IoU_class_1,64.42393837099665
dim_IoU_class_2,nan
dim_IoU_class_3,52.48384381321629
dim_IoU_class_4,nan
dim_IoU_class_5,44.053939905876675
dim_IoU_class_6,89.76977886589171
dim_IoU_class_7,nan
dim_IoU_class_8,98.71270658279482
small_count,6128
small_mAP50-95,42.73661191533475
small_AP50,73.99326738305088
small_AP75,42.24038058663488
small_AP_small,16.535705305322974
small_AP_medium,44.37977756975122
small_AP_large,65.71006862455177
small_AR1,28.510396822282175
small_AR10,48.97054743606478
small_AR100,50.47812312112616
small_AR_small,27.654466526005645
small_AR_medium,53.40776769924835
small_AR_large,70.88237981877803
small_AR50-95,50.47812312112616
small_mIoU_all,81.67103580458082
small_mPA_all,89.16968428085099
small_mPrecision_all,89.411287384818
small_mIoU_o,76.82142689636726
small_mIoU_d,98.85757409780977
small_IoU_class_0,98.4317598688469
small_IoU_class_1,82.27759434758703
small_IoU_class_2,81.34196934608686
small_IoU_class_3,62.351693337679684
small_IoU_class_4,88.03544922628342
small_IoU_class_5,76.68212167762951
small_IoU_class_6,88.86927076911563
small_IoU_class_7,58.19188957018869
small_IoU_class_8,98.85757409780977
mAP_da,42.89662871267164
mIoUda_d,98.17526230409563
mAP_di,44.92605757410007
mIoUdi_d,98.71270658279482
mAP_sm,42.73661191533475
mIoUsm_o,76.82142689636726
