metric,value
mAP50-95,41.80834136581025
AP50,71.65187513981688
AP75,43.69716686083462
AP_small,10.537070962147247
AP_medium,38.65371249806739
AP_large,58.12832863783905
AR1,30.21420393767916
AR10,45.96030371505413
AR100,46.198653199948986
AR_small,14.453720796512052
AR_medium,44.69522820357807
AR_large,62.280841406197574
AR50-95,46.198653199948986
paper_mAP50-95,41.80834136581025
paper_AR50-95,46.198653199948986
mIoU_all,81.52787087120959
mPA_all,88.95126524683614
mPrecision_all,89.40656503860929
mIoU_o,76.70172000245799
mIoU_d,98.7150274939652
IoU_class_0,98.12377032971523
IoU_class_1,82.42261526097552
IoU_class_2,81.45119614545855
IoU_class_3,62.333446193300034
IoU_class_4,87.01500755315082
IoU_class_5,78.64201251432625
IoU_class_6,89.25151214946374
IoU_class_7,55.79625020053095
IoU_class_8,98.7150274939652
dark_times,night
dim_lightings,dim
dim_times,"daytime,night"
dim_weathers,"overcast,rainy"
small_area,4096.0
small_area_space,original
dark_count,175
dark_mAP50-95,41.91252784880561
dark_AP50,75.11178594489378
dark_AP75,41.005297590397824
dark_AP_small,13.976193298954968
dark_AP_medium,33.57174315693264
dark_AP_large,68.32102711351801
dark_AR1,31.3859819121447
dark_AR10,47.536582850194335
dark_AR100,47.668916791522804
dark_AR_small,19.4348140122788
dark_AR_medium,40.53717633444236
dark_AR_large,71.71428571428572
dark_AR50-95,47.668916791522804
dark_mIoU_all,62.94813650727538
dark_mPA_all,87.9164014628033
dark_mPrecision_all,67.34811208703876
dark_mIoU_o,45.790850748559656
dark_mIoU_d,97.83887721701183
dark_IoU_class_0,96.68653883240175
dark_IoU_class_1,49.52240326492422
dark_IoU_class_2,45.52249337373665
dark_IoU_class_3,0.0
dark_IoU_class_4,nan
dark_IoU_class_5,nan
dark_IoU_class_6,88.11850635557776
dark_IoU_class_7,nan
dark_IoU_class_8,97.83887721701183
dim_count,415
dim_mAP50-95,40.491624156449376
dim_AP50,77.52086022789526
dim_AP75,39.75320318767255
dim_AP_small,10.068883277803724
dim_AP_medium,24.505941999429755
dim_AP_large,51.72848693268539
dim_AR1,33.95791245791246
dim_AR10,45.994961132057895
dim_AR100,46.367720988688724
dim_AR_small,12.387267904509285
dim_AR_medium,27.763532763532766
dim_AR_large,56.86531841652324
dim_AR50-95,46.367720988688724
dim_mIoU_all,52.89261935458083
dim_mPA_all,76.17689499212977
dim_mPrecision_all,65.11883047226729
dim_mIoU_o,37.78418278674234
dim_mIoU_d,98.5480363064942
dim_IoU_class_0,97.88782180969832
dim_IoU_class_1,61.60753724497824
dim_IoU_class_2,0.0
dim_IoU_class_3,38.52623564927219
dim_IoU_class_4,0.0
dim_IoU_class_5,38.4528174706259
dim_IoU_class_6,88.11850635557776
dim_IoU_class_7,nan
dim_IoU_class_8,98.5480363064942
small_count,6128
small_mAP50-95,36.2015844663823
small_AP50,65.8419733047415
small_AP75,35.9658400256048
small_AP_small,10.746853146436921
small_AP_medium,37.76959672034529
small_AP_large,59.93717040020324
small_AR1,24.835479385738466
small_AR10,40.34657986002394
small_AR100,40.60848215008917
small_AR_small,14.453720796512052
small_AR_medium,43.87068918334157
small_AR_large,63.8650334238192
small_AR50-95,40.60848215008917
small_mIoU_all,79.27276864159941
small_mPA_all,87.92763304739631
small_mPrecision_all,87.2884595638904
small_mIoU_o,73.77746110595966
small_mIoU_d,98.74751291026269
small_IoU_class_0,98.26517712241444
small_IoU_class_1,80.10426513953934
small_IoU_class_2,79.14207466096686
small_IoU_class_3,58.6496850704984
small_IoU_class_4,86.02156540775624
small_IoU_class_5,74.36631674351781
small_IoU_class_6,86.90093544686115
small_IoU_class_7,51.257385272577835
small_IoU_class_8,98.74751291026269
mAP_da,41.91252784880561
mIoUda_d,97.83887721701183
mAP_di,40.491624156449376
mIoUdi_d,98.5480363064942
mAP_sm,36.2015844663823
mIoUsm_o,73.77746110595966
