metric,value
mAP50-95,30.640224873969256
AP50,60.20028227055536
AP75,28.459065926562154
AP_small,5.0854887836165235
AP_medium,25.81716609439576
AP_large,45.34001925326563
AR1,23.368043080704542
AR10,35.00060578125752
AR100,35.491766371110565
AR_small,8.868978160454828
AR_medium,32.13921482504742
AR_large,50.42491295547278
AR50-95,35.491766371110565
paper_mAP50-95,30.640224873969256
paper_AR50-95,35.491766371110565
mIoU_all,74.82265250609214
mPA_all,82.7562864472848
mPrecision_all,86.00971874083139
mIoU_o,68.3317466079957
mIoU_d,98.0299677572995
IoU_class_0,97.05167854156002
IoU_class_1,74.40885316456178
IoU_class_2,76.17570539395338
IoU_class_3,55.665769439478275
IoU_class_4,80.42210081814916
IoU_class_5,72.28373857289586
IoU_class_6,84.85073318295635
IoU_class_7,34.51532568397504
IoU_class_8,98.0299677572995
dark_times,night
dim_lightings,dim
dim_times,"daytime,night"
dim_weathers,"overcast,rainy"
small_area,4096.0
small_area_space,original
dark_count,175
dark_mAP50-95,30.646314235847438
dark_AP50,68.15047557155836
dark_AP75,24.15115601623254
dark_AP_small,7.821396179130863
dark_AP_medium,24.536791302800648
dark_AP_large,52.67758124993017
dark_AR1,25.001739843224108
dark_AR10,37.252988404664194
dark_AR100,37.99578746227173
dark_AR_small,11.451787648970749
dark_AR_medium,34.89201504411977
dark_AR_large,57.14285714285714
dark_AR50-95,37.99578746227173
dark_mIoU_all,45.02800352936046
dark_mPA_all,84.06946943785032
dark_mPrecision_all,49.262158302913946
dark_mIoU_o,27.96962467960043
dark_mIoU_d,97.0723588024232
dark_IoU_class_0,95.33392135485789
dark_IoU_class_1,43.740694539455156
dark_IoU_class_2,41.206312675530896
dark_IoU_class_3,0.0
dark_IoU_class_4,0.0
dark_IoU_class_5,0.0
dark_IoU_class_6,82.87074086261656
dark_IoU_class_7,nan
dark_IoU_class_8,97.0723588024232
dim_count,415
dim_mAP50-95,27.820531151706884
dim_AP50,62.94511280889672
dim_AP75,24.11644105247151
dim_AP_small,4.606218409560375
dim_AP_medium,16.039134997212173
dim_AP_large,35.93501502455249
dim_AR1,24.703040388524258
dim_AR10,32.940270601560925
dim_AR100,33.40084407826344
dim_AR_small,7.453580901856763
dim_AR_medium,19.85933048433049
dim_AR_large,41.73300344234079
dim_AR50-95,33.40084407826344
dim_mIoU_all,45.29391922116348
dim_mPA_all,76.59933969420672
dim_mPrecision_all,53.47230705479925
dim_mIoU_o,30.425057909169933
dim_mIoU_d,97.80764930492
dim_IoU_class_0,96.86221832136174
dim_IoU_class_1,50.918387457226586
dim_IoU_class_2,0.0
dim_IoU_class_3,41.3405832615391
dim_IoU_class_4,0.0
dim_IoU_class_5,37.8462921362391
dim_IoU_class_6,82.87014250918479
dim_IoU_class_7,0.0
dim_IoU_class_8,97.80764930492
small_count,6128
small_mAP50-95,25.00494397151163
small_AP50,52.50557595920014
small_AP75,21.422076214119762
small_AP_small,5.161768321985265
small_AP_medium,25.06074605614264
small_AP_large,44.085099720984736
small_AR1,18.27296317392542
small_AR10,29.33374747120025
small_AR100,29.88252826984577
small_AR_small,8.868978160454828
small_AR_medium,31.469210243582836
small_AR_large,49.271790730363755
small_AR50-95,29.88252826984577
small_mIoU_all,72.18866954006636
small_mPA_all,81.66695821302031
small_mPrecision_all,83.30387631073589
small_mIoU_o,64.91852458214971
small_mIoU_d,97.99165442888102
small_IoU_class_0,97.27669935666823
small_IoU_class_1,71.81748006863945
small_IoU_class_2,73.39148028381544
small_IoU_class_3,46.04915769767303
small_IoU_class_4,78.33000844477756
small_IoU_class_5,63.59684952278379
small_IoU_class_6,82.22585766420933
small_IoU_class_7,39.0188383931494
small_IoU_class_8,97.99165442888102
mAP_da,30.646314235847438
mIoUda_d,97.0723588024232
mAP_di,27.820531151706884
mIoUdi_d,97.80764930492
mAP_sm,25.00494397151163
mIoUsm_o,64.91852458214971
