metric,value
mAP50-95,38.81070043968864
AP50,68.9699855727419
AP75,39.22254513099119
AP_small,10.54364735553113
AP_medium,35.76223119651809
AP_large,53.10011131771526
AR1,28.52399652907474
AR10,43.38773007140156
AR100,43.67290540979351
AR_small,15.065708499143762
AR_medium,42.14651259249952
AR_large,57.54363123077443
AR50-95,43.67290540979351
paper_mAP50-95,38.81070043968864
paper_AR50-95,43.67290540979351
mIoU_all,42.537380364116366
mPA_all,45.550620683838325
mPrecision_all,80.22621080325936
mIoU_o,27.64499402593704
mIoU_d,96.19590057068494
IoU_class_0,93.12556452480307
IoU_class_1,42.27637732239287
IoU_class_2,59.29581381400062
IoU_class_3,6.055863981766374
IoU_class_4,49.21351106637633
IoU_class_5,17.129561381091047
IoU_class_6,15.438320749231895
IoU_class_7,4.105509866700149
IoU_class_8,96.19590057068494
dark_times,night
dim_lightings,dim
dim_times,"daytime,night"
dim_weathers,"overcast,rainy"
small_area,4096.0
small_area_space,original
dark_count,175
dark_mAP50-95,39.63078969000717
dark_AP50,75.29861841025102
dark_AP75,37.802322919921764
dark_AP_small,13.363357723563857
dark_AP_medium,32.53035503079557
dark_AP_large,62.39003468962513
dark_AR1,29.58673702038955
dark_AR10,46.417198662410705
dark_AR100,46.60054719562243
dark_AR_small,20.09088720356326
dark_AR_medium,41.17597280486041
dark_AR_large,66.66666666666667
dark_AR50-95,46.60054719562243
dark_mIoU_all,29.18941248925656
dark_mPA_all,61.34312946432804
dark_mPrecision_all,42.74878760718258
dark_mIoU_o,12.090124784397647
dark_mIoU_d,93.94356773463046
dark_IoU_class_0,84.13027117789508
dark_IoU_class_1,29.170644120187283
dark_IoU_class_2,34.71413560788677
dark_IoU_class_3,0.0
dark_IoU_class_4,0.0
dark_IoU_class_5,0.0
dark_IoU_class_6,20.746093762709474
dark_IoU_class_7,0.0
dark_IoU_class_8,93.94356773463046
dim_count,415
dim_mAP50-95,35.6216613509511
dim_AP50,73.39434809475345
dim_AP75,31.08697217685718
dim_AP_small,19.669102878128268
dim_AP_medium,24.8293604104622
dim_AP_large,44.8159130445044
dim_AR1,30.373958478797185
dim_AR10,41.083441946345175
dim_AR100,41.557157597480185
dim_AR_small,21.763925729442974
dim_AR_medium,28.73486467236467
dim_AR_large,50.31576305220884
dim_AR50-95,41.557157597480185
dim_mIoU_all,27.10976848787674
dim_mPA_all,45.007262744165985
dim_mPrecision_all,53.56770067960913
dim_mIoU_o,8.202126197966289
dim_mIoU_d,95.73208609149731
dim_IoU_class_0,90.84094691362932
dim_IoU_class_1,28.837295274115863
dim_IoU_class_2,0.0
dim_IoU_class_3,6.278338046296743
dim_IoU_class_4,0.0
dim_IoU_class_5,1.563261302190818
dim_IoU_class_6,20.735988763160602
dim_IoU_class_7,0.0
dim_IoU_class_8,95.73208609149731
small_count,6128
small_mAP50-95,33.49342027587947
small_AP50,63.157802749350175
small_AP75,32.32357634589055
small_AP_small,10.75768546509448
small_AP_medium,35.01189164367084
small_AP_large,53.70941179361558
small_AR1,23.428336790694647
small_AR10,38.176093871045616
small_AR100,38.49710650571308
small_AR_small,15.065708499143762
small_AR_medium,41.412556261110545
small_AR_large,58.01711184195019
small_AR50-95,38.49710650571308
small_mIoU_all,42.642117280734915
small_mPA_all,46.00175975499204
small_mPrecision_all,76.95773270990249
small_mIoU_o,27.652650922214516
small_mIoU_d,96.04256477505866
small_IoU_class_0,94.16793429605399
small_IoU_class_1,43.4623766907283
small_IoU_class_2,58.59065700885415
small_IoU_class_3,8.934615381915167
small_IoU_class_4,44.89883967233193
small_IoU_class_5,15.149086541075576
small_IoU_class_6,14.723094358843072
small_IoU_class_7,7.809886801753428
small_IoU_class_8,96.04256477505866
mAP_da,39.63078969000717
mIoUda_d,93.94356773463046
mAP_di,35.6216613509511
mIoUdi_d,95.73208609149731
mAP_sm,33.49342027587947
mIoUsm_o,27.652650922214516
