metric,value
mAP50-95,48.80670408594116
AP50,74.20534606758682
AP75,53.35304018300116
AP_small,19.41093370340351
AP_medium,48.194149265768324
AP_large,60.18134222165187
AR1,34.066919498814855
AR10,53.31806397459522
AR100,54.13343358761059
AR_small,23.959470481209607
AR_medium,55.47378267727105
AR_large,63.33172052188932
AR50-95,54.13343358761059
paper_mAP50-95,48.80670408594116
paper_AR50-95,54.13343358761059
mIoU_all,82.96769210801078
mPA_all,90.69050073541808
mPrecision_all,89.98263432755995
mIoU_o,78.52018565845657
mIoU_d,98.74167216637714
IoU_class_0,98.3262571965239
IoU_class_1,82.96520254295494
IoU_class_2,81.94255911981139
IoU_class_3,64.26812590754385
IoU_class_4,85.60989238162117
IoU_class_5,81.32505518898218
IoU_class_6,90.18902083486803
IoU_class_7,63.34144363341444
IoU_class_8,98.74167216637714
dark_times,night
dim_lightings,dim
dim_times,"daytime,night"
dim_weathers,"overcast,rainy"
small_area,4096.0
small_area_space,original
dark_count,8
dark_mAP50-95,63.7916077322018
dark_AP50,100.0
dark_AP75,64.35643564356435
dark_AP_small,29.999999999999993
dark_AP_medium,45.04950495049505
dark_AP_large,84.90994813767091
dark_AR1,48.57142857142858
dark_AR10,66.42857142857143
dark_AR100,66.42857142857143
dark_AR_small,30.0
dark_AR_medium,46.666666666666664
dark_AR_large,88.57142857142858
dark_AR50-95,66.42857142857143
dark_mIoU_all,69.12087522814913
dark_mPA_all,94.80010459839896
dark_mPrecision_all,71.61176434917265
dark_mIoU_o,49.99347208237461
dark_mIoU_d,98.41676563408004
dark_IoU_class_0,97.20719425954175
dark_IoU_class_1,59.22883869495779
dark_IoU_class_2,0.0
dark_IoU_class_3,nan
dark_IoU_class_4,nan
dark_IoU_class_5,nan
dark_IoU_class_6,90.75157755216607
dark_IoU_class_7,nan
dark_IoU_class_8,98.41676563408004
dim_count,16
dim_mAP50-95,49.889857843389166
dim_AP50,77.30667343221052
dim_AP75,59.21981707099281
dim_AP_small,24.28341584158416
dim_AP_medium,51.01068679506018
dim_AP_large,57.96016030174446
dim_AR1,38.423344947735195
dim_AR10,51.268873403019754
dim_AR100,52.3054587688734
dim_AR_small,30.909090909090907
dim_AR_medium,54.230769230769226
dim_AR_large,59.01785714285713
dim_AR50-95,52.3054587688734
dim_mIoU_all,67.36975148804832
dim_mPA_all,72.59656786018232
dim_mPrecision_all,88.51585473258227
dim_mIoU_o,52.36710794734577
dim_mIoU_d,98.22445270352341
dim_IoU_class_0,96.52562443538345
dim_IoU_class_1,63.43919211205418
dim_IoU_class_2,nan
dim_IoU_class_3,22.72875353363389
dim_IoU_class_4,nan
dim_IoU_class_5,32.548908591528935
dim_IoU_class_6,90.75157755216607
dim_IoU_class_7,nan
dim_IoU_class_8,98.22445270352341
small_count,211
small_mAP50-95,44.94047285298488
small_AP50,70.93288585075285
small_AP75,48.22430692759404
small_AP_small,19.514672741417407
small_AP_medium,47.5792246165987
small_AP_large,71.8442669691788
small_AR1,29.309932186926346
small_AR10,49.53910818069682
small_AR100,50.49926334754238
small_AR_small,23.959470481209607
small_AR_medium,54.93946294975952
small_AR_large,74.64497861794884
small_AR50-95,50.49926334754238
small_mIoU_all,79.02151633350513
small_mPA_all,87.57176858703045
small_mPrecision_all,85.56963866508835
small_mIoU_o,73.42056543494571
small_mIoU_d,98.84858859055416
small_IoU_class_0,98.40110036637199
small_IoU_class_1,81.883098253709
small_IoU_class_2,81.18888019139389
small_IoU_class_3,61.14616408054655
small_IoU_class_4,88.27670423459897
small_IoU_class_5,81.42221607782632
small_IoU_class_6,89.88498413748188
small_IoU_class_7,30.141911069063386
small_IoU_class_8,98.84858859055416
mAP_da,63.7916077322018
mIoUda_d,98.41676563408004
mAP_di,49.889857843389166
mIoUdi_d,98.22445270352341
mAP_sm,44.94047285298488
mIoUsm_o,73.42056543494571
