metric,value
mAP50-95,48.68371428706738
AP50,73.5231385132438
AP75,53.717504187838664
AP_small,18.99674600449473
AP_medium,48.38908529118095
AP_large,59.96333166338581
AR1,34.11425897432748
AR10,52.99555755412702
AR100,53.724144048707345
AR_small,23.048732668297887
AR_medium,55.50882500051936
AR_large,63.13109562907506
AR50-95,53.724144048707345
paper_mAP50-95,48.68371428706738
paper_AR50-95,53.724144048707345
mIoU_all,83.05850635433642
mPA_all,90.5459035640985
mPrecision_all,90.2562681196721
mIoU_o,78.63692132139718
mIoU_d,98.74250086150674
IoU_class_0,98.32560707774074
IoU_class_1,83.1390717807385
IoU_class_2,82.14317529500464
IoU_class_3,63.77360681114551
IoU_class_4,85.61608611787423
IoU_class_5,81.40075606748842
IoU_class_6,90.27443338924148
IoU_class_7,64.11131978828752
IoU_class_8,98.74250086150674
dark_times,night
dim_lightings,dim
dim_times,"daytime,night"
dim_weathers,"overcast,rainy"
small_area,4096.0
small_area_space,original
dark_count,8
dark_mAP50-95,65.09641678453559
dark_AP50,100.0
dark_AP75,64.35643564356435
dark_AP_small,29.999999999999993
dark_AP_medium,47.02970297029702
dark_AP_large,85.91419141914191
dark_AR1,49.28571428571429
dark_AR10,68.57142857142857
dark_AR100,68.57142857142857
dark_AR_small,30.0
dark_AR_medium,50.000000000000014
dark_AR_large,90.0
dark_AR50-95,68.57142857142857
dark_mIoU_all,69.0441591310307
dark_mPA_all,94.44886343220553
dark_mPrecision_all,71.67592099815558
dark_mIoU_o,49.869117873861875
dark_mIoU_d,98.41426886387062
dark_IoU_class_0,97.19917316969727
dark_IoU_class_1,58.64881944045499
dark_IoU_class_2,0.0
dark_IoU_class_3,nan
dark_IoU_class_4,nan
dark_IoU_class_5,nan
dark_IoU_class_6,90.95853418113063
dark_IoU_class_7,nan
dark_IoU_class_8,98.41426886387062
dim_count,16
dim_mAP50-95,49.70949419710761
dim_AP50,73.8199825972284
dim_AP75,60.942641556782405
dim_AP_small,23.459813628421667
dim_AP_medium,51.57713443814706
dim_AP_large,56.97359735973598
dim_AR1,38.71951219512195
dim_AR10,51.697154471544714
dim_AR100,52.30691056910569
dim_AR_small,30.0
dim_AR_medium,54.8076923076923
dim_AR_large,58.12500000000001
dim_AR50-95,52.30691056910569
dim_mIoU_all,66.65267390834754
dim_mPA_all,71.41756535215083
dim_mPrecision_all,89.52171798388297
dim_mIoU_o,51.30117517020294
dim_mIoU_d,98.2293962565861
dim_IoU_class_0,96.48194651268737
dim_IoU_class_1,64.20416489070206
dim_IoU_class_2,nan
dim_IoU_class_3,19.61747767739209
dim_IoU_class_4,nan
dim_IoU_class_5,30.42452393158698
dim_IoU_class_6,90.95853418113063
dim_IoU_class_7,nan
dim_IoU_class_8,98.2293962565861
small_count,211
small_mAP50-95,44.77618038838402
small_AP50,70.34030486826389
small_AP75,48.443562595341774
small_AP_small,19.09287144475513
small_AP_medium,47.7061981772539
small_AP_large,72.12556631003545
small_AR1,29.385156067915496
small_AR10,49.13712097410759
small_AR100,49.99416363716313
small_AR_small,23.048732668297887
small_AR_medium,54.87178668426227
small_AR_large,74.42668903093221
small_AR50-95,49.99416363716313
small_mIoU_all,79.06324324549074
small_mPA_all,87.29288564235111
small_mPrecision_all,85.89240401685933
small_mIoU_o,73.4745139932376
small_mIoU_d,98.84643938048066
small_IoU_class_0,98.40115187627275
small_IoU_class_1,82.06657028296671
small_IoU_class_2,81.38637718566594
small_IoU_class_3,61.342554248799075
small_IoU_class_4,88.20969459202887
small_IoU_class_5,81.51372715192986
small_IoU_class_6,89.87806594690782
small_IoU_class_7,29.924608544364972
small_IoU_class_8,98.84643938048066
mAP_da,65.09641678453559
mIoUda_d,98.41426886387062
mAP_di,49.70949419710761
mIoUdi_d,98.2293962565861
mAP_sm,44.77618038838402
mIoUsm_o,73.4745139932376
