metric,value
mAP50-95,50.3567988621414
AP50,75.60976508131985
AP75,56.00608944183152
AP_small,18.86250797493445
AP_medium,50.04478766924238
AP_large,61.75673707269909
AR1,32.17451619429199
AR10,56.74299375382367
AR100,58.805773725501055
AR_small,28.48688750862664
AR_medium,60.81442370229746
AR_large,67.48315062556107
AR50-95,58.805773725501055
paper_mAP50-95,50.3567988621414
paper_AR50-95,58.805773725501055
mIoU_all,83.05850635433642
mPA_all,90.5459035640985
mPrecision_all,90.2562681196721
mIoU_o,78.63692132139718
mIoU_d,98.74250086150674
IoU_class_0,98.32560707774074
IoU_class_1,83.1390717807385
IoU_class_2,82.14317529500464
IoU_class_3,63.77360681114551
IoU_class_4,85.61608611787423
IoU_class_5,81.40075606748842
IoU_class_6,90.27443338924148
IoU_class_7,64.11131978828752
IoU_class_8,98.74250086150674
dark_times,night
dim_lightings,dim
dim_times,"daytime,night"
dim_weathers,"overcast,rainy"
small_area,4096.0
small_area_space,original
dark_count,8
dark_mAP50-95,70.10828005877511
dark_AP50,100.0
dark_AP75,69.55445544554455
dark_AP_small,40.0
dark_AP_medium,60.380105824347616
dark_AP_large,82.91479147914792
dark_AR1,47.14285714285714
dark_AR10,73.57142857142857
dark_AR100,75.00000000000001
dark_AR_small,40.0
dark_AR_medium,63.33333333333333
dark_AR_large,90.0
dark_AR50-95,75.00000000000001
dark_mIoU_all,69.0441591310307
dark_mPA_all,94.44886343220553
dark_mPrecision_all,71.67592099815558
dark_mIoU_o,49.869117873861875
dark_mIoU_d,98.41426886387062
dark_IoU_class_0,97.19917316969727
dark_IoU_class_1,58.64881944045499
dark_IoU_class_2,0.0
dark_IoU_class_3,nan
dark_IoU_class_4,nan
dark_IoU_class_5,nan
dark_IoU_class_6,90.95853418113063
dark_IoU_class_7,nan
dark_IoU_class_8,98.41426886387062
dim_count,16
dim_mAP50-95,48.725429855179506
dim_AP50,74.2500363803462
dim_AP75,59.18676491643262
dim_AP_small,20.58039643409066
dim_AP_medium,50.29741218077891
dim_AP_large,56.65916591659166
dim_AR1,35.204703832752614
dim_AR10,52.45934959349594
dim_AR100,54.47154471544715
dim_AR_small,35.45454545454545
dim_AR_medium,63.65384615384616
dim_AR_large,59.375
dim_AR50-95,54.47154471544715
dim_mIoU_all,66.65267390834754
dim_mPA_all,71.41756535215083
dim_mPrecision_all,89.52171798388297
dim_mIoU_o,51.30117517020294
dim_mIoU_d,98.2293962565861
dim_IoU_class_0,96.48194651268737
dim_IoU_class_1,64.20416489070206
dim_IoU_class_2,nan
dim_IoU_class_3,19.61747767739209
dim_IoU_class_4,nan
dim_IoU_class_5,30.42452393158698
dim_IoU_class_6,90.95853418113063
dim_IoU_class_7,nan
dim_IoU_class_8,98.2293962565861
small_count,211
small_mAP50-95,47.10430016716248
small_AP50,73.83785809613937
small_AP75,50.94729717314153
small_AP_small,19.112435831501816
small_AP_medium,49.93619316777816
small_AP_large,74.31737647866518
small_AR1,27.47817823384995
small_AR10,53.32977159915345
small_AR100,55.81128707902354
small_AR_small,28.48688750862664
small_AR_medium,60.52815960910305
small_AR_large,79.09534657056078
small_AR50-95,55.81128707902354
small_mIoU_all,79.06324324549074
small_mPA_all,87.29288564235111
small_mPrecision_all,85.89240401685933
small_mIoU_o,73.4745139932376
small_mIoU_d,98.84643938048066
small_IoU_class_0,98.40115187627275
small_IoU_class_1,82.06657028296671
small_IoU_class_2,81.38637718566594
small_IoU_class_3,61.342554248799075
small_IoU_class_4,88.20969459202887
small_IoU_class_5,81.51372715192986
small_IoU_class_6,89.87806594690782
small_IoU_class_7,29.924608544364972
small_IoU_class_8,98.84643938048066
mAP_da,70.10828005877511
mIoUda_d,98.41426886387062
mAP_di,48.725429855179506
mIoUdi_d,98.2293962565861
mAP_sm,47.10430016716248
mIoUsm_o,73.4745139932376
